"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005902","GO:0005902","microvillus","7/34","36/2408",3.64784937004776e-07,3.28942003803827e-05,2.33893930902686e-05,"Vil1/Myo1a/Iqgap2/Ezr/Myo7b/Prom1/Anks4b",7
"GO:0005903","GO:0005903","brush border","8/34","54/2408",4.35684773250102e-07,3.28942003803827e-05,2.33893930902686e-05,"Vil1/Myo1a/Plec/Ezr/Myo7b/Prom1/Anks4b/Myh14",8
"GO:0099081","GO:0099081","supramolecular polymer","11/34","135/2408",1.08351591290978e-06,3.95343140007822e-05,2.81108402096883e-05,"Myo1a/Krt20/Jup/Dsp/Iqgap2/Krt18/Plec/Ezr/Actn4/Myh14/Map2k1",11
"GO:0099512","GO:0099512","supramolecular fiber","11/34","135/2408",1.08351591290978e-06,3.95343140007822e-05,2.81108402096883e-05,"Myo1a/Krt20/Jup/Dsp/Iqgap2/Krt18/Plec/Ezr/Actn4/Myh14/Map2k1",11
"GO:0098862","GO:0098862","cluster of actin-based cell projections","8/34","62/2408",1.30908324505901e-06,3.95343140007822e-05,2.81108402096883e-05,"Vil1/Myo1a/Plec/Ezr/Myo7b/Prom1/Anks4b/Myh14",8
"GO:0005882","GO:0005882","intermediate filament","5/34","19/2408",4.17995370819034e-06,0.000105195501656124,7.47991716202482e-05,"Krt20/Jup/Dsp/Krt18/Plec",5
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber","9/34","105/2408",8.5274705569746e-06,0.000183949722014738,0.000130797292753595,"Myo1a/Krt20/Jup/Dsp/Iqgap2/Krt18/Plec/Ezr/Map2k1",9
"GO:0005856","GO:0005856","cytoskeleton","15/34","330/2408",1.30495389052394e-05,0.000246310046836394,0.000175138548465056,"Vil1/Myo1a/Krt20/Jup/Dsp/Iqgap2/Krt18/Plec/Ezr/Myo7b/Dstn/Actn4/Myh14/Map2k1/Pdcd6ip",15
"GO:0016323","GO:0016323","basolateral plasma membrane","7/34","63/2408",1.84694867034236e-05,0.000309876943579662,0.000220337736111018,"Myo1a/Dsp/Plec/Epcam/Ezr/Cdh17/St14",7
"GO:0098858","GO:0098858","actin-based cell projection","7/34","65/2408",2.27802017644384e-05,0.00034398104664302,0.000244587429470812,"Vil1/Myo1a/Iqgap2/Ezr/Myo7b/Prom1/Anks4b",7
"GO:0099080","GO:0099080","supramolecular complex","11/34","187/2408",2.71383768635108e-05,0.000345415976256043,0.000245607734946786,"Myo1a/Krt20/Jup/Dsp/Iqgap2/Krt18/Plec/Ezr/Actn4/Myh14/Map2k1",11
"GO:0015629","GO:0015629","actin cytoskeleton","9/34","121/2408",2.74502762587584e-05,0.000345415976256043,0.000245607734946786,"Vil1/Myo1a/Jup/Ezr/Myo7b/Dstn/Actn4/Myh14/Pdcd6ip",9
"GO:0045111","GO:0045111","intermediate filament cytoskeleton","5/34","29/2408",3.85810122438114e-05,0.000448133296062732,0.000318644797479252,"Krt20/Jup/Dsp/Krt18/Plec",5
"GO:0070161","GO:0070161","anchoring junction","8/34","149/2408",0.000813965553247298,0.00847948990458091,0.00602933405554028,"Jup/Dsp/Plec/Epcam/Ezr/Actn4/Map2k1/Pdcd6ip",8
"GO:0016459","GO:0016459","myosin complex","3/34","14/2408",0.000842333434229891,0.00847948990458091,0.00602933405554028,"Myo1a/Myo7b/Myh14",3
"GO:0098590","GO:0098590","plasma membrane region","10/34","246/2408",0.00147087637260788,0.0138813957664869,0.00987035460565817,"Myo1a/Jup/Dsp/Plec/Epcam/Ezr/Eps8l3/Cdh17/Prom1/St14",10
"GO:0016328","GO:0016328","lateral plasma membrane","3/34","18/2408",0.00181663480031569,0.0161359914616276,0.0114734829493622,"Myo1a/Jup/Epcam",3
"GO:0005743","GO:0005743","mitochondrial inner membrane","6/34","109/2408",0.00357236446223432,0.0282387886447178,0.0200791665511413,"Coq10b/Ckmt1/Hsd3b3/Coq3/Ak2/Suclg1",6
"GO:0120025","GO:0120025","plasma membrane bounded cell projection","12/34","375/2408",0.00358940044744603,0.0282387886447178,0.0200791665511413,"Vil1/Myo1a/Iqgap2/Ezr/Myo7b/Eps8l3/Ak2/Prom1/Anks4b/Actn4/Myh14/Map2k1",12
"GO:0045177","GO:0045177","apical part of cell","6/34","110/2408",0.00374023690658514,0.0282387886447178,0.0200791665511413,"Myo1a/Plec/Epcam/Ezr/Myo7b/Prom1",6
"GO:0019866","GO:0019866","organelle inner membrane","6/34","116/2408",0.00487476683463176,0.0350518948585427,0.024923619906388,"Coq10b/Ckmt1/Hsd3b3/Coq3/Ak2/Suclg1",6
"GO:0030175","GO:0030175","filopodium","3/34","26/2408",0.00535812157549876,0.0358388988682762,0.0254832184354422,"Vil1/Iqgap2/Ezr",3
"GO:0016324","GO:0016324","apical plasma membrane","5/34","83/2408",0.00545890512563148,0.0358388988682762,0.0254832184354422,"Myo1a/Plec/Epcam/Ezr/Prom1",5
"GO:0042641","GO:0042641","actomyosin","3/34","27/2408",0.00597007461695717,0.0375617194650222,0.0267082285495452,"Actn4/Myh14/Pdcd6ip",3
"GO:0032432","GO:0032432","actin filament bundle","3/34","28/2408",0.00662237903494183,0.0399991693710487,0.0284413752237502,"Vil1/Actn4/Myh14",3
"GO:0042995","GO:0042995","cell projection","12/34","411/2408",0.00773541258493751,0.0449248961663678,0.0319438090552075,"Vil1/Myo1a/Iqgap2/Ezr/Myo7b/Eps8l3/Ak2/Prom1/Anks4b/Actn4/Myh14/Map2k1",12
