"","Var1","Freq"
"1","Aaed1",1
"2","Aagab",1
"3","Aak1",1
"4","Abat",3
"5","Abca12",3
"6","Abca3",1
"7","Abcb1a",4
"8","Abcc3",3
"9","Abcd3",1
"10","Abcg2",3
"11","Abhd17b",2
"12","Abhd17c",2
"13","Abhd2",8
"14","Abhd4",3
"15","Abl1",2
"16","Ablim1",1
"17","Abr",3
"18","AC124550.3",1
"19","AC124566.2",1
"20","AC124713.2",1
"21","AC126938.1",1
"22","AC163442.1 AC114005.5",1
"23","Acaca",1
"24","Acad11",1
"25","Acads",3
"26","Acap2",2
"27","Acat1",2
"28","Acat2",1
"29","Acer1",1
"30","Acly",3
"31","Acnat1",1
"32","Aco1",1
"33","Acox1",11
"34","Acsl3",4
"35","Acsl5",2
"36","Actb",4
"37","Actg1",1
"38","Actn1",1
"39","Actn4",2
"40","Actr1a",5
"41","Actr2",2
"42","Actr3",2
"43","Acvr1b",6
"44","Ada",1
"45","Adam10",4
"46","Adam17",2
"47","Adap1",1
"48","Adcy6",1
"49","Adgrg1",1
"50","Adgrg7",1
"51","Adgrl2",1
"52","Adh1",1
"53","Adipor1",3
"54","Adipor2",6
"55","Adk",2
"56","Adra2a",4
"57","Adss",1
"58","Aff1",3
"59","Aff4",1
"60","Afg3l2",1
"61","Agap1",1
"62","Agfg1",2
"63","Agfg2",1
"64","Ago1",1
"65","Ago2",2
"66","Agpat4",1
"67","Agps",2
"68","Agrn",1
"69","Ahcyl2",3
"70","Ahnak",6
"71","Aim1",1
"72","Aim2",1
"73","Airn",1
"74","Ak3",1
"75","Akap11",1
"76","Akap13",4
"77","Akap9",1
"78","Akna",1
"79","Akr1a1",1
"80","Akr1c12",1
"81","Akr1c13",1
"82","Akr1c19",1
"83","Akt2",2
"84","Akt3",1
"85","Aktip",1
"86","Alas1",1
"87","Aldh1b1",1
"88","Aldh3a2",1
"89","Aldoa",2
"90","Alg10b",1
"91","Alg3",1
"92","Alg9",1
"93","Alkbh4",1
"94","Ammecr1l",1
"95","Ampd3",2
"96","Ank3",2
"97","Ankfy1",1
"98","Ankrd27",2
"99","Ankrd28",1
"100","Ankrd37",1
"101","Ankrd44",1
"102","Ankrd9",1
"103","Anks4b",1
"104","Ano1",1
"105","Ano7",1
"106","Anxa1",1
"107","Anxa11",1
"108","Anxa2",1
"109","Anxa4",1
"110","Anxa8",1
"111","Aoc1",1
"112","Ap1b1",1
"113","Ap1m2",1
"114","Ap2b1",1
"115","Ap2s1",1
"116","Ap5b1",1
"117","Ap5m1",1
"118","Aplp2",3
"119","Apob",4
"120","Apoc2",1
"121","App",1
"122","Appl2",1
"123","Aqp4",4
"124","Aqp8",3
"125","Arel1",1
"126","Arf2",3
"127","Arf3",2
"128","Arf4",1
"129","Arf5",1
"130","Arf6",1
"131","Arfgap3",1
"132","Arfgef1",2
"133","Arhgap1",5
"134","Arhgap17",1
"135","Arhgap21",1
"136","Arhgap35",1
"137","Arhgap5",1
"138","Arhgdia",6
"139","Arhgef12",1
"140","Arhgef16",1
"141","Arhgef2",1
"142","Arhgef3",1
"143","Arhgef5",1
"144","Arhgef7",3
"145","Arid1b",1
"146","Arid2",1
"147","Arl14",1
"148","Arl2bp",2
"149","Arl5b",1
"150","Arl6ip1",6
"151","Armc8",1
"152","Armt1",1
"153","Arpc1a",3
"154","Arpc1b",1
"155","Arpc2",5
"156","Arrdc3",4
"157","Arrdc4",9
"158","Asah1",6
"159","Asap1",8
"160","Aspdh",1
"161","Asph",1
"162","Atg12",2
