"","X","Protein.Id","...2","Gene.Symbol","p_values","q_values","foldChange","LFC"
"6330",6330,"Q3THF9","CQ10B_MOUSE","Coq10b",0.00902915027826007,0.0532035345999137,1.2859756498586,0.362863325277962
"4726",4726,"Q62468","VILI_MOUSE","Vil1",0.00208224398188607,0.026125048590284,1.25369945983425,0.326191542898351
"3382",3382,"O88329","MYO1A_MOUSE","Myo1a",0.00165998264237246,0.0233086373292702,1.32293774045247,0.403745167698215
"4120",4120,"Q9D312","K1C20_MOUSE","Krt20",0.0158331290348278,0.0711140154393119,1.35969609079091,0.443284226986979
"294",294,"Q02257","PLAK_MOUSE","Jup",0.00216321151418769,0.0267264035248458,1.23441343235312,0.303825665890213
"3563",3563,"E9Q557","DESP_MOUSE","Dsp",0.00105311048910727,0.0188474445210624,1.39867484353606,0.48406061143695
"4497",4497,"Q8K0C9","GMDS_MOUSE","Gmds",0.000301557622520888,0.0108894325548361,1.26127608289931,0.334884104241755
"3490",3490,"Q3UQ44","IQGA2_MOUSE","Iqgap2",0.000195118589118973,0.00908011766506814,1.32257835724867,0.403353198532315
"1058",1058,"P55264","ADK_MOUSE","Adk",0.00104188479228885,0.0187436250673028,1.28596576849373,0.362852239647479
"4003",4003,"P05784","K1C18_MOUSE","Krt18",0.00556547953496468,0.0420644888617401,1.35944562862986,0.443018451565188
"3505",3505,"Q9QXS1","PLEC_MOUSE","Plec",0.00157748496954417,0.0229480478368092,1.72454126587045,0.786212650894657
"2551",2551,"Q99JW5","EPCAM_MOUSE","Epcam",0.0201156976130322,0.0815925488170756,1.41308060711989,0.498843764451208
"3886",3886,"P26040","EZRI_MOUSE","Ezr",0.000188724445934033,0.0089675755159571,1.31595360133423,0.396108622579924
"3489",3489,"Q99MZ6","MYO7B_MOUSE","Myo7b",0.000239828162508219,0.0098353649961285,1.62104261749824,0.696922020062828
"1561",1561,"Q00PI9","HNRL2_MOUSE","Hnrnpul2",0.018190201989136,0.0770406072546835,1.09246447389986,0.127586365161258
"3175",3175,"P30275","KCRU_MOUSE","Ckmt1",0.0133115212028461,0.0650510925367828,1.25941447692405,0.332753156286713
"2380",2380,"Q9R0P5","DEST_MOUSE","Dstn",0.000741520613344996,0.0164444286019253,1.53341486910134,0.61674807444027
"2209",2209,"P70195","PSB7_MOUSE","Psmb7",0.00092087438195385,0.0177665622485233,1.40075564109669,0.486205302574052
"3379",3379,"Q91WL0","ES8L3_MOUSE","Eps8l3",0.00102987431737121,0.0187436250673028,1.56453414706157,0.645733146759583
"4988",4988,"P26150","3BHS3_MOUSE","Hsd3b3",0.00459873615626005,0.0386994657521796,1.43549145667574,0.521544744374271
"1860",1860,"Q9R100","CAD17_MOUSE","Cdh17",0.000150141559328634,0.00839250181973275,1.52633616390138,0.610072739749594
"1956",1956,"Q8BMS4","COQ3_MOUSE","Coq3",0.00776618259248117,0.0496980461856311,1.20497472336351,0.269002883500392
"5193",5193,"Q9WTP6","KAD2_MOUSE","Ak2",0.0258530712717288,0.0938533438673977,1.15494837108022,0.207828361207282
"154",154,"O70456","1433S_MOUSE","Sfn",0.000982222783170546,0.0183430666669447,1.50044442587007,0.585389884743306
"939",939,"O54990","PROM1_MOUSE","Prom1",2.26708002966238e-05,0.00395049942067296,2.90384761296771,1.53796574610769
"1400",1400,"Q9WUM5","SUCA_MOUSE","Suclg1",0.00178127614631223,0.023948920313104,1.17404731758316,0.231490554501557
"220",220,"Q3THS6","METK2_MOUSE","Mat2a",0.00162523345827184,0.0231063112023765,1.09560636688721,0.131729555100715
"4780",4780,"Q8K419","LEG4_MOUSE","Lgals4",0.000122862073060841,0.00802141902599616,1.34997464910654,0.432932315460043
"413",413,"Q8K3X6","ANS4B_MOUSE","Anks4b",0.00460358288536786,0.0386994657521796,1.25027416647804,0.32224449108513
"3685",3685,"P57780","ACTN4_MOUSE","Actn4",0.0149296236337894,0.068836530212065,1.35584587342368,0.439193188588442
"3524",3524,"Q6URW6","MYH14_MOUSE","Myh14",0.000409599600209135,0.0127950724745551,1.49929378182709,0.584283102470245
"1040",1040,"P56677","ST14_MOUSE","St14",0.00243191565917395,0.0282436826632316,1.22811862999041,0.296449924415451
"5421",5421,"P31938","MP2K1_MOUSE","Map2k1",0.000415873860734057,0.0128558582479191,1.5317540435195,0.615184659742096
"3719",3719,"Q9WU78","PDC6I_MOUSE","Pdcd6ip",0.00258281703265502,0.0292755136159689,1.15854868064697,0.212318665568677
