"","X","Protein.Id","...2","Gene.Symbol","p_values","q_values","foldChange","LFC"
"2459",2459,"Q8BMB3","IF4E2_MOUSE","Eif4e2",0.0200729323138244,0.0815585332928865,-1.22365425635229,-0.291195981962175
"1684",1684,"B2RXR6","ANR44_MOUSE","Ankrd44",0.0086012808154611,0.051996335359243,-1.3708476914925,-0.455068288888946
"3586",3586,"E9Q309","E9Q309_MOUSE","Cep350",0.003621602189696,0.0342875817518666,-1.15961363970903,-0.21364420800561
"308",308,"P25425","PO2F1_MOUSE","Pou2f1",0.0222225297233525,0.0863609833677523,-1.39963134738863,-0.485046881933661
"6439",6439,"P41778","PBX1_MOUSE","Pbx1",0.008764622847853,0.0525520090268939,-1.18708679682969,-0.247425425104263
"7161",7161,"O70439","STX7_MOUSE","Stx7",0.00885836056322949,0.0527686719390627,-1.1439478123198,-0.194021236884825
"867",867,"Q9CQU5","ZWINT_MOUSE","Zwint",0.0124981910640901,0.0629615662185428,-1.34013866235438,-0.422382282131809
"6714",6714,"Q61826","MADCA_MOUSE","Madcam1",0.00767655025298467,0.049582310175003,-1.52360040895367,-0.607484580251586
"3706",3706,"P56480","ATPB_MOUSE","Atp5b",0.0086898841502515,0.0522609760871058,-1.11012806040628,-0.150726110319965
"273",273,"Q91ZX7","LRP1_MOUSE","Lrp1",0.000137987416269408,0.00836295226788397,-1.35469640112621,-0.437969567692959
"7336",7336,"P15314","IRF1_MOUSE","Irf1",0.00123899591716006,0.0200953166438525,-1.64436941986092,-0.7175344476389
"3954",3954,"P21550","ENOB_MOUSE","Eno3",0.0108983021199283,0.0583168678484081,-2.57529169540408,-1.36473585120036
"3553",3553,"Q6PDM1","MSL1_MOUSE","Msl1",0.0109187812856718,0.0583168678484081,-1.64443285352249,-0.717590100378932
"5610",5610,"Q9DBC7","KAP0_MOUSE","Prkar1a",0.0007623795811241,0.0165197762456677,-1.30228112945105,-0.381040923376106
"4031",4031,"Q5SSZ5","TENS3_MOUSE","Tns3",0.00157148716902792,0.0229016192614944,-1.2932485086048,-0.370999527803262
