"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04510","mmu04510","Focal adhesion","12/101","201/8912",2.5610866867646e-06,0.00054038929090733,0.000425949154219797,"13866/11855/19211/11798/13649/12928/16400/13367/12540/19046/12387/16403",12
"mmu05213","mmu05213","Endometrial cancer","6/101","58/8912",4.58566451920927e-05,0.00483787606776578,0.00381334207386876,"56484/13866/12018/19211/13649/12387",6
"mmu05222","mmu05222","Small cell lung cancer","7/101","93/8912",8.31629626500248e-05,0.00584912837305174,0.0046104379293698,"19645/12018/19211/11798/16400/27401/16403",7
"mmu05160","mmu05160","Hepatitis C","8/101","165/8912",0.000546484354669686,0.0288270497088259,0.0227222442204764,"12633/19645/12018/24014/13649/71908/12387/15467",8
"mmu05225","mmu05225","Hepatocellular carcinoma","8/101","174/8912",0.000775858039742825,0.0327412092771472,0.0258074884798666,"19645/239985/12018/19211/14367/66447/13649/12387",8
"mmu05219","mmu05219","Bladder cancer","4/101","41/8912",0.00114072311734343,0.0336399130554811,0.0265158706049688,"13866/19645/13649/15200",4
"mmu05223","mmu05223","Non-small cell lung cancer","5/101","72/8912",0.00129847689774704,0.0336399130554811,0.0265158706049688,"56484/13866/19645/12018/13649",5
"mmu05224","mmu05224","Breast cancer","7/101","147/8912",0.00135909257704296,0.0336399130554811,0.0265158706049688,"13866/19645/12018/19211/14367/13649/12387",7
"mmu05214","mmu05214","Glioma","5/101","74/8912",0.00146855906217761,0.0336399130554811,0.0265158706049688,"19645/12018/19211/12315/13649",5
"mmu05212","mmu05212","Pancreatic cancer","5/101","76/8912",0.00165452649879107,0.0336399130554811,0.0265158706049688,"13866/19645/12018/13649/12540",5
"mmu05412","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","5/101","77/8912",0.00175373954317674,0.0336399130554811,0.0265158706049688,"53313/16400/109620/12387/16403",5
"mmu01524","mmu01524","Platinum drug resistance","5/101","80/8912",0.00207761584343958,0.0365314119138125,0.0287950266020573,"13866/12018/11798/66447/21974",5
