"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"peak2",33.2212573053997,-6.9017664738593,1.80575801008581,-3.82208825064624,0.000132326312919,0.000953303699353637
"peak8",11.0774410627415,-4.0362589216785,0.911949861465859,-4.42596582578636,9.60117244956952e-06,0.000108734265766318
"peak10",14.8700823841282,-6.6007560751701,1.17945139939736,-5.59646296451277,2.18769028054118e-08,6.3042132482192e-07
"peak15",9.54787886608614,-6.77305404971738,1.34014091187949,-5.0539864798385,4.32682250947409e-07,7.83382601715309e-06
"peak16",56.627824220615,-5.62801061886181,0.778872833154152,-7.22584018763424,4.98013128278158e-13,4.69764275600581e-11
"peak19",12.3258494869953,-3.10882435747808,0.665370522245078,-4.67232053952188,2.97815698565069e-06,4.14981672127124e-05
"peak22",9.40611165165424,-6.75692195209199,1.27338610443796,-5.30626329951535,1.11895297110171e-07,2.45367217248757e-06
"peak25",8.93563515914937,-6.69209241756128,1.35523914623894,-4.93794208655584,7.89512794876162e-07,1.32081411033386e-05
"peak37",12.539253574352,-8.0136412358492,1.35949516192594,-5.89457135286646,3.75655248301048e-09,1.23071814681486e-07
"peak50",8.88221038839824,-6.68574207744096,1.39750614994801,-4.78405198981749,1.71796216894486e-06,2.57647514383448e-05
"peak65",23.0622859507141,-4.73472003636463,0.852137020694644,-5.55628956538584,2.75569582347746e-08,7.62178382533666e-07
"peak71",69.9224444935444,-6.05313413019888,0.685633093003542,-8.82853262476293,1.06057908836872e-18,4.19109220733668e-16
"peak72",23.0041969720751,-5.9279744033248,0.997825127846218,-5.94089509062594,2.8346998780719e-09,9.51352934689498e-08
"peak74",8.70880753016883,-7.46008397362888,2.31279633473084,-3.22556891914872,0.0012572256216429,0.00536416265234303
"peak77",11.4862345686839,-4.16699392351814,1.11300658774766,-3.74390769056514,0.000181180239589698,0.00121611712036793
"peak85",10.7378013924317,-3.55063094130998,0.761092227355638,-4.66517829730886,3.08349555213459e-06,4.2428898797372e-05
"peak92",95.5621734714936,-6.91721996357153,0.611185702548977,-11.3177057884747,1.07241769875861e-29,5.9025870139674e-26
"peak99",9.99901138669136,-2.94167180075153,0.803408715130685,-3.66148853671948,0.000250754082868894,0.00156835280921635
"peak112",11.3681909312296,-7.8853974160248,1.37697664150878,-5.72660216471402,1.02462067600208e-08,3.09863307731619e-07
"peak120",10.6067953663437,-6.76142545272485,1.30195719716443,-5.19327783390325,2.06623476296752e-07,4.15056793261797e-06
"peak135",16.5728271038026,-5.13354423557651,1.07762800466521,-4.76374427293336,1.90033313188588e-06,2.80958175560605e-05
"peak137",288.61177292414,-2.07765979663349,0.459916902549271,-4.51746779715474,6.25835421359255e-06,7.68883517669942e-05
"peak142",12.172876649502,-7.96764635703073,1.33448967361489,-5.97055677129956,2.36445287953755e-09,8.08319791861782e-08
"peak151",23.7905509918066,-6.2329866961527,0.886593955949679,-7.03026075727779,2.06147912160993e-12,1.7191486492941e-10
"peak153",11.5658863458402,-5.40842290877481,1.10094431294293,-4.91253085664033,8.99082280545672e-07,1.47278240241767e-05
"peak164",21.4774679180242,-4.41464760487182,0.701603428691946,-6.29222638364581,3.1294463101244e-10,1.35574530947584e-08
"peak172",9.14076015320717,-3.85227803289882,1.11994505797453,-3.43970269386772,0.000582353527402298,0.00302955937128757
"peak176",12.094180609173,-4.10755058752354,0.824516252939447,-4.98177030820179,6.30051949391669e-07,1.09050500926155e-05
"peak179",18.5841018961759,-4.06730066792108,0.781829420660795,-5.20228653519259,1.96851406639213e-07,4.01285237830456e-06
"peak184",9.82041339956066,-6.79185143422921,1.2597345424374,-5.39149416438798,6.98742288204727e-08,1.70137362128439e-06
"peak186",25.9236332556547,-6.21663372521108,0.961279715085866,-6.46703933064455,9.99416441312235e-11,5.04659458071793e-09
"peak189",9.68394601933127,-3.96729892454813,0.956545496481137,-4.14752768074567,3.36084846305671e-05,0.000309310093765235
"peak190",12.1052507416465,-7.91945788589412,3.71476288054064,-2.13188785948608,0.033016066501017,0.0625974612544256
"peak194",14.8283703696151,-3.86083113750501,0.939386065229437,-4.10995146767696,3.95742282547332e-05,0.000351884575628516
"peak204",37.0117037058871,-8.61576148135053,1.2171091357963,-7.07887339594541,1.45331078449657e-12,1.26968612029668e-10
"peak209",9.24908446471466,-4.2872225118316,0.967666881699312,-4.43047353682586,9.40263858613124e-06,0.000107147252128502
