peak,target_gene,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID,CLIP_LFC,CLIP_p,RNA_LFC,RNA_p,Protein_LFC,Protein_p
peak97,Hs6st1,ENSMUSG00000045216,Q9QYK5,50785,-3.51845063714224,2.22323594670474e-9,-0.243573341130709,0.320865389040913,-0.0975007217565237,0.389575700647157
peak101,Cnnm4,ENSMUSG00000037408,Q69ZF7,94220,0.132825299549643,0.87131673840047,0.329679731864508,0.121329519711861,-0.128864144646582,0.245534488074098
peak104,Cnnm4,ENSMUSG00000037408,Q69ZF7,94220,-1.53682326791579,0.00669023295452267,0.329679731864508,0.121329519711861,-0.128864144646582,0.245534488074098
peak105,Cnnm4,ENSMUSG00000037408,Q69ZF7,94220,-4.14524386739721,2.7982584971141e-19,0.329679731864508,0.121329519711861,-0.128864144646582,0.245534488074098
peak110,Cnnm4,ENSMUSG00000037408,Q69ZF7,94220,-3.19636553832754,1.93975475654191e-6,0.329679731864508,0.121329519711861,-0.128864144646582,0.245534488074098
peak135,Cox5b,ENSMUSG00000061518,P19536,12859,-1.04279235749437,0.045363579628997897,-0.338935522052039,0.0663230527046341,-0.242909080655109,0.0182829169745197
peak174,Tpp2,ENSMUSG00000041763,Q64514,22019,-1.72287446911732,0.00412376018782918,0.453996594058377,0.0296985913682275,0.106131740986711,1.50179834131425e-4
peak216,Casp8,ENSMUSG00000026029,O89110,12370,-1.31328517515519,0.0388118144810821,0.354661618125802,0.0728725917440187,0.250336576625686,0.00689148298747627
peak221,Nop58,ENSMUSG00000026020,Q6DFW4,55989,0.122728598835595,0.857628165598975,-0.281413718718392,0.182116304991103,0.0976731561636569,0.137395343925979
peak247,Eef1b2,ENSMUSG00000025967,O70251,55949,1.56534703057392,0.12611721168407,0.17115779389685,0.289925076797128,-0.035716952723497,0.417537607027157
peak253,Fastkd2,ENSMUSG00000025962,Q922E6,75619,-2.10407196147075,0.00545159842906902,-0.640626550333288,9.32226552278655e-4,0.0848519288239598,0.0291904699025035
peak264,Arpc2,ENSMUSG00000006304,Q9CVB6,76709,4.64629037210669,0.0011126727583419,0.681183653905156,5.82752833673117e-6,0.220343227213947,7.17296647298554e-4
peak267,Arpc2,ENSMUSG00000006304,Q9CVB6,76709,2.00401224735515,0.0164561608633049,0.681183653905156,5.82752833673117e-6,0.220343227213947,7.17296647298554e-4
peak268,Arpc2,ENSMUSG00000006304,Q9CVB6,76709,1.37539117687341,0.0748946029135231,0.681183653905156,5.82752833673117e-6,0.220343227213947,7.17296647298554e-4
