peak,target_gene,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID,CLIP_LFC,CLIP_p,RNA_LFC,RNA_p,Protein_LFC,Protein_p,rank_value
peak26020,Sema7a,ENSMUSG00000038264,Q9QUR8,20361,5.13378402,5.41E-04,3.322624681,1.43E-66,0.932745141,4.81E-07,9.389153841
peak14741,Dhrs9,ENSMUSG00000027068,Q58NB6,241452,5.661172682,3.34E-06,2.026300298,8.05E-10,0.354391462,0.048141973,8.041864442
peak26023,Sema7a,ENSMUSG00000038264,Q9QUR8,20361,3.617339801,3.37E-09,3.322624681,1.43E-66,0.932745141,4.81E-07,7.872709622
peak3443,Egfr,ENSMUSG00000020122,Q01279,13649,4.97654555,0.001247364,1.582240784,2.56E-07,0.744452425,1.05E-04,7.303238758
peak26017,Sema7a,ENSMUSG00000038264,Q9QUR8,20361,3.040466563,0.019524231,3.322624681,1.43E-66,0.932745141,4.81E-07,7.295836384
peak16753,S100a14,ENSMUSG00000042306,Q9D2Q8,66166,4.202236841,0.004099279,1.696697901,1.05E-04,1.331322338,5.00E-04,7.23025708
peak26021,Sema7a,ENSMUSG00000038264,Q9QUR8,20361,2.967165457,0.025352362,3.322624681,1.43E-66,0.932745141,4.81E-07,7.222535278
peak26015,Sema7a,ENSMUSG00000038264,Q9QUR8,20361,2.91272296,0.005309154,3.322624681,1.43E-66,0.932745141,4.81E-07,7.168092782
peak20975,Cldn4,ENSMUSG00000047501,O35054,12740,3.559546713,0.006250794,2.418940605,1.64E-10,1.058331826,0.003750739,7.036819144
peak16758,S100a14,ENSMUSG00000042306,Q9D2Q8,66166,3.948712516,3.89E-05,1.696697901,1.05E-04,1.331322338,5.00E-04,6.976732755
peak20974,Cldn4,ENSMUSG00000047501,O35054,12740,3.413776942,0.007762738,2.418940605,1.64E-10,1.058331826,0.003750739,6.891049374
peak3367,Erbb3,ENSMUSG00000018166,Q61526,13867,5.65053598,1.29E-04,0.87293463,5.79E-07,0.327819183,0.003853754,6.851289793
peak1182,Tmem131,ENSMUSG00000026116,O70472,56030,5.375831648,2.44E-04,1.18758465,5.28E-05,0.193204296,4.80E-05,6.756620593
peak17131,Ddah1,ENSMUSG00000028194,Q9CWS0,69219,5.35389143,2.78E-04,0.671761272,0.00692373,0.514501587,3.08E-05,6.540154288
peak13347,Gna14,ENSMUSG00000024697,P30677,14675,5.28867926,4.29E-04,0.93874671,0.013457717,0.223047973,0.011924631,6.450473943
peak16860,Mcl1,ENSMUSG00000038612,P97287,17210,5.022506614,8.16E-04,1.124991075,3.88E-05,0.224088955,0.002882615,6.371586644
peak1599,Mfsd4,ENSMUSG00000059149,Q6PDC8,NA,3.902544155,0.007461291,1.413678267,0.005625042,1.049128052,6.42E-04,6.365350474
peak1468,Trip12,ENSMUSG00000026219,G5E870,14897,5.624648622,1.32E-04,0.50384387,0.006812179,0.086867423,0.016712237,6.215359915
peak6293,Esyt2,ENSMUSG00000021171,Q3TZZ7,52635,5.390985936,3.01E-04,0.547135675,1.53E-04,0.248593739,0.002000998,6.186715349
peak12348,Ctnna1,ENSMUSG00000037815,P26231,12385,5.148958149,0.001308515,0.6682485,7.90E-04,0.27073676,3.63E-04,6.087943409
peak16755,S100a14,ENSMUSG00000042306,Q9D2Q8,66166,3.05586941,0.001042916,1.696697901,1.05E-04,1.331322338,5.00E-04,6.083889648
