"","x"
"1","Dst"
"2","Plekhb2"
"3","Hs6st1"
"4","Cnnm4"
"5","Cox5b"
"6","Slc9a2"
"7","Tpp2"
"8","Cflar"
"9","Casp8"
"10","Stradb"
"11","Nop58"
"12","Eef1b2"
"13","Fastkd2"
"14","Arpc2"
"15","Vil1"
"16","Sgpp2"
"17","Utp14b"
"18","Acsl3"
"19","Sp100"
"20","B3gnt7"
"21","Atg16l1"
"22","Agap1"
"23","Ano7"
"24","Zcchc2"
"25","Phlpp1"
"26","Tfcp2l1"
"27","Rab3gap1"
"28","Ubxn4"
"29","Pigr"
"30","Eif2d"
"31","Elk4"
"32","Nuak2"
"33","Ppp1r15b"
"34","Plekha6"
"35","Adipor1"
"36","Rabif"
"37","Lad1"
"38","Kif21b"
"39","Dennd1b"
"40","Ivns1abp"
"41","Arpc5"
"42","Rnasel"
"43","Glul"
"44","Tor1aip2"
"45","Slc19a2"
"46","Gpa33"
"47","Usf1"
"48","F11r"
"49","Igsf9"
"50","Aim2"
"51","Parp1"
"52","Tlr5"
"53","Tmem206"
"54","Mrpl15"
"55","Ncoa2"
"56","Tram2"
"57","Smap1"
"58","Phf3"
"59","Ptp4a1"
"60","Fam168b"
"61","Uggt1"
"62","Lman2l"
"63","Sema4c"
"64","Tmem131"
"65","Mgat4a"
"66","Tgfbrap1"
"67","Fhl2"
"68","Slc40a1"
"69","Nabp1"
"70","Nab1"
"71","Stk17b"
"72","Satb2"
"73","Trak2"
"74","Fzd5"
"75","Idh1"
"76","Abca12"
"77","Aamp"
"78","Tmbim1"
"79","Ihh"
"80","Cnppd1"
"81","Tm4sf20"
"82","Trip12"
"83","Per2"
"84","Hdlbp"
"85","Stk25"
"86","Vps4b"
"87","Insig2"
"88","Actr3"
"89","Pfkfb2"
"90","Mfsd4"
"91","Cdk18"
"92","Mdm4"
"93","Btg2"
"94","Elf3"
"95","AC124550.3"
"96","Nek7"
"97","n-R5s217"
"98","Rgs2"
"99","Dhx9"
"100","Cep350"
"101","Tor1aip1"
"102","Prdx6"
"103","Atp1b1"
"104","Sft2d2"
"105","Mgst3"
"106","Sdhc"
"107","Ncstn"
"108","Fh1"
"109","Capn2"
"110","Kctd3"
"111","Atf3"
"112","Armt1"
"113","Hivep2"
"114","Cited2"
"115","Perp"
"116","Ifngr1"
"117","Map3k5"
"118","Sgk1"
"119","Stx7"
"120","Cd164"
"121","Ostm1"
"122","Scml4"
"123","Pdss2"
"124","Dcbld1"
"125","Smpdl3a"
"126","Gcc2"
"127","Ranbp2"
"128","Micu1"
"129","Psap"
"130","Herc4"
"131","Jmjd1c"
"132","Ank3"
"133","Ipmk"
"134","Zwint"
"135","Chchd10"
"136","Pttg1ip"
"137","Ube2g2"
"138","Icosl"
"139","Cdc34"
"140","Bsg"
"141","Misp"
"142","Midn"
"143","Oaz1"
"144","Eef2"
"145","Dapk3"
"146","Arl1"
"147","Slc5a8"
"148","Tmcc3"
"149","Eea1"
"150","Btg1"
"151","Galnt4 Poc1b"
"152","Mgat4c"
"153","Ppp1r12a"
"154","Csrp2"
"155","Osbpl8"
"156","Zfc3h1"
"157","Tspan8"
"158","Cpm"
"159","Tmbim4"
"160","Lrig3"
"161","Myo1a"
"162","Rdh16"
"163","Atp5b"
"164","Baz2a"
"165","Stat2"
"166","Utrn"
"167","Vta1"
"168","Tnfaip3"
"169","Rps12"
"170","Gm27783"
"171","Foxo3"
"172","Aim1"
"173","Prdm1"
"174","Mcu"
"175","Ddit4"
"176","Unc5b"
"177","Eif4ebp2"
"178","Tspan15"
"179","Reep3"
"180","Gucd1"
"181","Pfkl"
"182","Plpp2"
"183","Mier2"
"184","R3hdm4"
"185","Sbno2"
"186","Rexo1"
"187","Mknk2"
"188","Ncln"
"189","Gna11"
"190","Appl2"
"191","Rtcb"
"192","Slc25a3"
"193","Socs2"
"194","Nudt4"
"195","Zdhhc17"
"196","Rap1b"
"197","Hmga2"
"198","Tbc1d30"
"199","Rassf3"
"200","Srgap1"
"201","Lrp1"
"202","Erbb3"
"203","Suox"
"204","Dgka"
"205","Mettl7b"
"206","Pla2g3"
"207","Ykt6"
"208","Ogdh"
"209","Upp1"
"210","Egfr"
"211","Rab1a"
"212","Vps54"
"213","Rtn4"
"214","Cpeb4"
"215","Stk10"
"216","Pank3"
"217","Atp10b"
"218","Pwwp2a"
"219","Clint1"
"220","Gnb2l1"
"221","Vdac1"
"222","Aff4"
"223","Irf1"
"224","Fnip1"
"225","Hint1"
"226","Slc36a1"
"227","Lypd8"
"228","RP23-465K20.5"
"229","Mprip"
"230","Dhrs7b"
"231","Map2k3"
"232","Specc1"
"233","Pmp22"
"234","RP23-67J22.4"
"235","Sco1"
"236","Per1"
"237","Trappc1"
"238","Fxr2"
"239","Neurl4"
"240","Cldn7"
"241","Rnf167"
"242","Eno3"
"243","Mybbp1a"
"244","Zzef1"
"245","Atp2a3"
"246","Trpv3"
"247","Mnt"
"248","Tsr1"
"249","Pitpna"
"250","Myo1c"
"251","Crk"
"252","Tmigd1"
"253","Sdf2"
"254","Pigs"
"255","Slc46a1"
"256","Nos2"
"257","Tmem98"
"258","Acaca"
"259","Car4"
"260","Trim25"
"261","Cox11"
"262","Spag9"
"263","Tob1"
"264","Ppp1r9b"
"265","Ttll6"
"266","Hoxb13"
"267","Prr15l"
"268","Lasp1"
"269","Cdk12"
"270","Erbb2"
"271","Thra"
"272","Rapgefl1"
"273","Nkiras2"
"274","Nbr1"
"275","Nmt1 Gm26668"
"276","Prkar1a"
"277","Cog1"
"278","Slc9a3r1"
"279","Slc16a5"
"280","Llgl2"
"281","Mfsd11"
"282","Syngr2"
"283","Rnf213"
"284","Mrpl12"
"285","Slc25a10"
"286","Aspscr1"
"287","Narf"
"288","Metrnl"
"289","Tug1"
"290","Purb"
"291","Tns3"
"292","Actr2"
"293","Lgalsl"
"294","Mdh1"
"295","B3gnt2"
"296","Sptbn1"
"297","Stc2"
"298","Wwc1"
"299","Irgm1"
"300","Canx"
"301","Rmnd5b"
"302","Sec24a"
"303","Arf1"
"304","Rasd1"
"305","Flii"
"306","Cox10"
"307","Kdm6b"
"308","Kdm6b Tmem88"
"309","Mpdu1"
"310","Polr2a"
"311","Eif5a"
"312","Pfn1"
"313","C1qbp"
"314","Ctns"
"315","Abr"
"316","Cpd"
"317","Supt6"
"318","Slc13a2"
"319","Ksr1"
"320","Myo1d"
"321","Ccl6"
"322","Dhrs11"
"323","Ggnbp2"
"324","Rps6kb1"
"325","Vmp1"
"326","Cltc"
"327","Ypel2"
"328","Lpo"
"329","n-R5s72"
"330","Tom1l1"
"331","Abcc3"
"332","Pdk2"
"333","Itga3"
"334","B4galnt2"
"335","Ube2z"
"336","Atp5g1"
"337","Nfe2l1"
"338","Pnpo"
"339","Npepps"
"340","Med1"
"341","Tns4"
"342","Krt20"
"343","Krt19"
"344","Jup"
"345","Acly"
"346","Rab5c"
"347","Stat3"
"348","Pyy"
"349","Gpatch8"
"350","Plekhm1"
"351","Cyb561"
"352","Ern1"
"353","Ddx5"
"354","Prkca"
"355","RP23-468D17.1"
"356","Hn1"
"357","H3f3b"
"358","Wbp2"
"359","Acox1"
"360","Prpsap1"
"361","Cyth1"
"362","Lgals3bp"
"363","Cant1"
"364","P4hb"
"365","Arhgdia"
"366","Dcxr"
"367","Fasn"
"368","Csnk1d"
"369","Sectm1b"
"370","Apob"
"371","Pum2"
"372","Sdc1"
"373","Laptm4a"
"374","Rock2"
"375","Odc1"
"376","Hpcal1"
"377","Tssc1"
"378","Slc26a3"
"379","Ccdc71l"
"380","Mampt"
"381","Sypl"
"382","Agr2"
"383","Pnpla8"
"384","Pnn"
"385","Arf6"
"386","Daam1"
"387","Syne2"
"388","Plekhh1"
"389","Susd6"
"390","Srsf5"
"391","Ylpm1"
"392","Fos"
"393","Cipc"
"394","Calm1"
"395","Papola"
"396","Dync1h1"
"397","Rcor1"
"398","Cep170b"
"399","Crip1"
"400","Esyt2"
"401","Rab10"
"402","Rhob"
"403","Adam17"
"404","Rsad2"
"405","Hbp1"
"406","Hectd1"
"407","Heatr5a"
"408","Eapp"
"409","Ralgapa1"
"410","Foxa1"
"411","Sec23a"
"412","Klhl28"
"413","n-R5s60"
"414","Tmem30b"
"415","Ppp2r5e"
"416","Max"
"417","Atp6v1d"
"418","Zfp36l1"
"419","Map3k9"
"420","Elmsan1"
"421","Entpd5"
"422","Arel1"
"423","Mlh3"
"424","RP23-43G12.1"
"425","Sptlc2"
"426","Ston2"
"427","Foxn3"
"428","Ccdc88c"
"429","Trip11"
"430","Itpk1"
"431","RP24-234J3.3"
"432","Dicer1"
"433","Clmn"
"434","Degs2"
"435","Wars"
"436","Ankrd9"
"437","Igha"
"438","Akr1c14"
"439","Akr1c13"
"440","Akr1c19"
"441","Klf6"
"442","Hist1h2bj"
"443","Hist1h1d"
"444","Hist1h4d"
"445","Hist1h1c"
"446","Mboat1"
"447","Rreb1"
"448","Dsp"
"449","Gcnt2"
"450","Tmem14c"
"451","Jarid2"
"452","Cdhr2"
"453","Nsd1"
"454","Slc12a7"
"455","Slc9a3"
"456","Ell2"
"457","Glrx"
"458","Arrdc3"
"459","RP24-196I12.2 RP24-540A17.2"
"460","Serinc5"
"461","Lhfpl2"
"462","Col4a3bp"
"463","Smim15"
"464","Elovl7"
"465","Mier3"
"466","Paip1"
"467","Hmgcs1"
"468","Fam208b"
"469","Net1"
"470","Akr1c12"
"471","Pfkp"
"472","Wdr37"
"473","Gpr137b"
"474","Hist1h2be"
"475","Mrs2"
"476","Uqcrfs1"
"477","Gmds"
"478","Serpinb1a"
"479","Slc22a23"
"480","Ssr1"
"481","Nup153"
"482","Fam120a"
"483","Cltb"
"484","H2afy"
"485","Ubqln1"
"486","Golm1"
"487","Fbp2"
"488","Slc35d2"
"489","Ctsl"
"490","Sdha"
"491","F2rl1"
"492","Iqgap2"
"493","Hmgcr"
"494","Tmem171"
"495","Fcho2"
"496","Tnpo1"
"497","Ptcd2"
"498","Bdp1"
"499","Naip1"
"500","Ocln"
"501","Marveld2"
"502","Pik3r1"
"503","Mast4"
"504","Erbb2ip"
"505","Itga2"
"506","Flnb"
"507","Slc4a7"
"508","Top2b"
"509","Sec24c"
"510","Adk"
