n-R5s217,
Gm25682 RP23-245C15.1,
Gm23680,
Gm25587,
n-R5s69 Galnt10,
Myh2,I6L963
Gm22456,
Kdm6b Tmem88,
n-R5s72,
RP23-468D17.1,
n-R5s62,
n-R5s60,
Gm23502,
Kcnk5,Q9JK62
Gm23999 Cacna2d3,
Cdh18,E9Q9Q6
RP24-288B1.2,
n-R5s40 Gtpbp1,
Prss32,E9Q409
RP23-85E24.3,
Btnl4,A2CG29
Gm23238,
Ppnr Tcf7l2,
Tcf7l2,Q924A0
Malat1,B0LAE7
Neat1,
Pax6os1,
Gm23152 Prex1,
Taf4,
Gm23511,
Gm23279,
Maml3,D4QGC2
Gm22042,
Gm23540 Zmpste24,
RP23-192C21.1,
Fryl,Q80XD5
WI1-166E14.1,
Gm26264,
Gm23510 Frmd4b,
n-R5s86,
RP23-424C4.5,
n-R5s13,
RP24-426M1.3,
n-R5s210,
Slc9a2,Q3ZAS0
Gm23212 Gas5,
Snord87 Snhg6,
Phf3,Q8BLA7
Slc40a1,Q9JHI9
Trak2,Q6P9N8
Abca12,B2RY21
Mroh3,A0A1D5RM54
AC124550.3,
Slc25a16,Q8C0K5
Chchd10,
RP23-233B6.2,
Galnt4 Poc1b,
Zfc3h1,Q6A049
Utrn,E9Q6R7
Phactr2,B1AVP0
Gm27783,
Myl6 Myl6b,
Atp10b,B1AWN4
RP23-289H16.2,
RP23-465K20.5,
RP23-67J22.4,
Trappc1 Kcnab3,
Slfn4,Q3UV10
Nmt1 Gm26668,
Tug1,Q8CI88
RP23-242C19.7,
RP23-188K3.6,
RP23-176J13.6,
Bptf,Q6P9L3
RP23-349B15.4,
Ccdc71l,E9Q4T4
Mampt,
n-R5s65 RP23-218E7.2,
RP24-342G5.6,
n-R5s58,
Elmsan1,E9Q2I4
Mlh3,Q3TRU3
RP23-43G12.1,
Trip11,Q811I5
RP24-234J3.3,
Igha,
Akr1c14,Q91WT7
Akr1c19,G3X9Y6
Hist1h2bj,P10853
Hist1h4d,
Hist1h2bc,Q6ZWY9
RP23-92G13.4,
Fam8a1,
RP23-189B9.5 AC130827.2,
RP24-196I12.2 RP24-540A17.2,
Akr1c12,Q9R0M7
RP23-283N14.2,
Hist1h1e Hist1h2be,
Nup153,Q8BRF6
Gpbp1 RP23-359G8.3,
Sec24c,
Pnp2,
Kif13b,E9Q4K7
Lmo7,E9PYF4
n-R5s46,
RP23-127E21.1,
Phf11b,B4XVQ1
Akap11,Q8BSJ2
Fer1l6,E0CZ42
Rnu12,
RP23-230O9.4,
Mkl1,
Cyp2d34,L7N463
RP23-212I23.1,
Fignl2,J3QK54
Spryd3,E9Q9B3
Usf3,
Ifngr2,Q63953
Zfp597,E9Q6S0
Sept5 Gp1bb,
Airn,Q78TB4
RP24-221F4.2,
Tmem8 Mrpl28,
Gm22589 Ddx39b,
Rnf39,A2RT81
RP23-81C12.1,
RP23-81C12.3,
RP23-345D6.8-1,
n-R5s28,
Fndc1,E9Q043
Pdpk1,Q9Z2A0
RP24-318I24.1,
Gm25555 Zfp811,
Btnl5-ps,
Btnl6,A2CG22
RP24-180B11.5,
n-R5s25,
Eif4ebp3 Ankhd1,
Chmp1b Gnal,
n-R5-8s1,
RP23-140G16.1,
Gm23997,
Gm23246 Snhg1,
Ahnak,E9Q616
Btaf1,E9QAE3
AC132303.1,
Dusp5,Q1HL35
Ndufs8 Tcirg1,
RP23-41B18.5,
Ms4a12,A0A087WSB9
RP23-341M13.1,
Ifit1bl1,
Lrrc8a RP23-395P6.10,
RP23-16O15.2,
RP23-297K24.1,
RP23-22A15.2,
Trp53rkb,
Baz2b,Q8C0K4
Ctnnd1 RP23-387F9.7,
n-R5s205,
Duox2,B7ZWM4
RP23-199B10.2,
RP23-207P16.1,
Plagl2,Q925T4
RP24-114E18.6,
RP24-114E18.8,
Zfp217,Q3U0X6
Dido1,
Gm23330 Dnajc5b,
Atp11b,Q6ZQ17
RP23-243E17.1,
RP23-346I1.1 Mgst2,
Tsc22d2,E9Q7M2
Sprr2a2,
Gbp7,Q78UK8
Gm23686 Cyp7b1,
Trim2,
RP23-37G19.2,
Clca4b,
Pakap,
Gm26400,
RP23-398D18.4,
Gm25099,
Gm23143,
RP24-16C11.2,
RP23-273D6.2,
RP23-153M14.4,
Gpatch3 Gpn2,
RP23-406N5.7,
RP23-211P15.1,
Gm26330 Rps8,
RP23-284L6.7,
Snhg3 Rcc1,
Cnksr1,A2A9K7
Vps13d,B1ART1
Tmem243,B2RVB9
Btbd8 RP23-32E20.1,
Pigg,D3Z4I0
Rplp0 Gcn1l1,
AC126938.1,
Zfp655,Q6P8W7
Gm24525 Zfp804b,
Rsbn1l,A0A0G2JEI9
RP23-110C17.2,
Prr14l,E9Q7C4
Sh3tc1,Q3TXV8
Tada2b,D3Z4Z0
AC167815.1,
Ugt2b34,Q8K154
Zfp644,Q80TH4
Fbrsl1,E9Q9T0
RP23-67P7.1,
Muc3,O35419
CAAA01224633.1,
Muc3a,
Adap1,E9PY16
Nup205,B9EJ54
RP23-338E5.2,
Mgam,Q6XK24
Trbc2,A0A075B5J4
Sval1,Q9D2X6
RP24-459E13.2,
RP23-281H4.3,
Il17rc Creld1,
Plekha5,E9Q6H8
RP23-343E20.2,
RP23-392I2.3 Wasl,
Hoxa3 Hoxa6,
Kbtbd2,Q8BSY6
Igkv8-30,Q52L64
RP23-448G18.4,
Gt(ROSA)26Sor,
RP24-127M20.8,
RP23-421B1.2,
Dusp16,Q920R2
n-R5s150,
Zfp626,E9QA60
Fcgbp,Q8C5Q6
Rpl14-ps1,Q569Z0
Rsf1,Q3UJ04
RP23-386F15.3,
Tmc4 Leng1,
Pvrl2,P32507
Pvr,Q8K094
n-R5s152,
AC164564.3,
RP23-32A8.1,
RP23-285C18.2,
Prss8,Q9ESD1
AC124566.2,
Ppfia1,
Fat1,Q9QXA3
RP23-359B23.5,
Pdp2,Q504M2
AC124713.2,
AC163442.1 AC114005.5,
Dpep1 AC114005.5,
RP23-310J6.1,
RP24-345M16.1,
Snord14c Hspa8,
Snord14d Hspa8,
