"","c..Adrb2....Ahnak....Akr1c14....Arhgap12....Arhgef12....Bdp1..."
"1","Adrb2"
"2","Ahnak"
"3","Akr1c14"
"4","Arhgap12"
"5","Arhgef12"
"6","Bdp1"
"7","Btnl4"
"8","Btnl5-ps"
"9","Btnl6"
"10","Capn2"
"11","Cdh18"
"12","Cdk16"
"13","Crtc2"
"14","Dcaf15"
"15","Duox2"
"16","Dyrk1b"
"17","Fhdc1"
"18","Fryl"
"19","Gm22042"
"20","Gm22456"
"21","Gm23143"
"22","Gm23238"
"23","Gm23279"
"24","Gm23502"
"25","Gm23511"
"26","Gm23680"
"27","Gm25099"
"28","Gm25587"
"29","Gm26264"
"30","Gm26400"
"31","Gpatch8"
"32","Hist1h2bc"
"33","Hist1h4d"
"34","Hmga2"
"35","Il22ra1"
"36","Kcnk5"
"37","Kctd20"
"38","Kdm5a"
"39","Ltn1"
"40","Malat1"
"41","Maml3"
"42","Map3k13"
"43","Map3k9"
"44","Me2"
"45","mt-Ta"
"46","Myh2"
"47","n-R5s13"
"48","n-R5s150"
"49","n-R5s152"
"50","n-R5s205"
"51","n-R5s210"
"52","n-R5s217"
"53","n-R5s25"
"54","n-R5s28"
"55","n-R5s46"
"56","n-R5s58"
"57","n-R5s60"
"58","n-R5s62"
"59","n-R5s72"
"60","n-R5s86"
"61","Nagpa"
"62","Neat1"
"63","Nol12"
"64","Npat"
"65","Pax6os1"
"66","Pcnxl3"
"67","Pim3"
"68","Plagl2"
"69","Pold3"
"70","Ppard"
"71","Ppp2r4"
"72","Prss32"
"73","Ptcd2"
"74","Rdh13"
"75","Rnf213"
"76","Rps6ka3"
"77","Sema4g"
"78","Slc12a6"
"79","Snx27"
"80","Srsf9"
"81","Ssbp3"
"82","Tap1"
"83","Tmem206"
"84","Trp53inp1"
"85","Ttc39b"
"86","Ttll6"
"87","Unc119b"
