gene_names,UniprotID
8030462N17Rik,Q19SC6
Ahnak,E9Q616
Akr1c14,Q91WT7
Btnl4,A2CG29
Btnl5-ps,
Btnl6,A2CG22
Cdh18,E9Q9Q6
Duox2,B7ZWM4
Fryl,Q80XD5
Gm22042,
Gm22456,
Gm23143,
Gm23238,
Gm23279,
Gm23502,
Gm23511,
Gm23680,
Gm25099,
Gm25587,
Gm26264,
Gm26400,
Hist1h2bc,Q6ZWY9
Kcnk5,Q9JK62
Malat1,B0LAE7
Maml3,D4QGC2
mt-Ta,
Myh2,I6L963
n-R5s13,
n-R5s150,
n-R5s152,
n-R5s205,
n-R5s210,
n-R5s217,
n-R5s25,
n-R5s28,
n-R5s46,
n-R5s58,
n-R5s60,
n-R5s62,
n-R5s72,
n-R5s86,
Neat1,
Pax6os1,
Plagl2,Q925T4
Prss32,E9Q409
