"","c..Abca12....Adap1....Ahnak....Airn....Akap11....Akr1c12....Akr1c19..."
"1","Abca12"
"2","Adap1"
"3","Ahnak"
"4","Airn"
"5","Akap11"
"6","Akr1c12"
"7","Akr1c19"
"8","Atp10b"
"9","Atp11b"
"10","Baz2b"
"11","Bptf"
"12","Btaf1"
"13","Btnl5-ps"
"14","Ccdc71l"
"15","Cnksr1"
"16","Cyp2d34"
"17","Dgkd"
"18","Dgkh"
"19","Duox2"
"20","Dusp16"
"21","Dusp5"
"22","Efnb2"
"23","Elmsan1"
"24","Entpd6"
"25","Fam46a"
"26","Fat1"
"27","Fbrsl1"
"28","Fcgbp"
"29","Fer1l6"
"30","Fignl2"
"31","Fndc1"
"32","Fryl"
"33","Gbp7"
"34","Gt(ROSA)26Sor"
"35","Hist1h2bj"
"36","Ifngr2"
"37","Igkv8-30"
"38","Kbtbd2"
"39","Kcnk5"
"40","Kif13b"
"41","Lmo7"
"42","Malat1"
"43","March3"
"44","March6"
"45","March7"
"46","March8"
"47","Mgam"
"48","Mgst2"
"49","Mlh3"
"50","Mroh3"
"51","Mrpl12"
"52","Ms4a12"
"53","mt-Rnr2"
"54","mt-Tc"
"55","mt-Ti"
"56","mt-Tq"
"57","Muc3"
"58","Ncoa3"
"59","Neat1"
"60","Nup153"
"61","Nup205"
"62","Pdp2"
"63","Pdpk1"
"64","Phactr2"
"65","Phf11b"
"66","Phip"
"67","Pigg"
"68","Pip5k1a"
"69","Pip5k1b"
"70","Plagl2"
"71","Plekha5"
"72","Prr14l"
"73","Prss32"
"74","Prss8"
"75","Pvr"
"76","Pvrl2"
"77","Rbm6"
"78","Rnf39"
"79","RP23-32A8.1"
"80","RP24-426M1.3"
"81","Rpl14-ps1"
"82","Rsbn1l"
"83","Rsf1"
"84","Sept5"
"85","Sept7"
"86","Sh3tc1"
"87","Slc25a16"
"88","Slc40a1"
"89","Slc9a2"
"90","Slfn4"
"91","Sprr2a2"
"92","Spryd3"
"93","Sval1"
"94","Tada2b"
"95","Tcf7l2"
"96","Tmem243"
"97","Trak2"
"98","Trbc2"
"99","Trip11"
"100","Tsc22d2"
"101","Tug1"
"102","Ugt2b34"
"103","Utrn"
"104","Vps13d"
"105","Xist"
"106","Zfc3h1"
"107","Zfp217"
"108","Zfp597"
"109","Zfp626"
"110","Zfp644"
"111","Zfp655"
