"","x"
"1","Slc9a2"
"2","Phf3"
"3","Trak2"
"4","Abca12"
"5","Aamp"
"6","AC124550.3"
"7","n-R5s217"
"8","Chchd10"
"9","Galnt4 Poc1b"
"10","Zfc3h1"
"11","Utrn"
"12","Gm27783"
"13","Pla2g3"
"14","Atp10b"
"15","RP23-465K20.5"
"16","RP23-67J22.4"
"17","Nmt1 Gm26668"
"18","Tug1"
"19","Kdm6b Tmem88"
"20","Lpo"
"21","n-R5s72"
"22","RP23-468D17.1"
"23","Ccdc71l"
"24","Mampt"
"25","n-R5s60"
"26","Elmsan1"
"27","Mlh3"
"28","RP23-43G12.1"
"29","Trip11"
"30","RP24-234J3.3"
"31","Igha"
"32","Akr1c14"
"33","Akr1c19"
"34","Hist1h2bj"
"35","Hist1h4d"
"36","RP24-196I12.2 RP24-540A17.2"
"37","Akr1c12"
"38","Hist1h2be"
"39","Nup153"
"40","Sec24c"
"41","Pnp2"
"42","Kif13b"
"43","Lmo7"
"44","Kcnk5"
"45","Gm23999 Cacna2d3"
"46","n-R5s46"
"47","RP23-127E21.1"
"48","Phf11b"
"49","Cdh18"
"50","RP24-288B1.2"
"51","H1f0 Gcat"
"52","Rnu12"
"53","March6"
"54","RP23-230O9.4"
"55","Cyp2d34"
"56","Brd1"
"57","Fignl2"
"58","Spryd3"
"59","Usf3"
"60","Ifngr2"
"61","Sept5"
"62","Airn"
"63","RP24-221F4.2"
"64","Prss32"
"65","Gm22589 Ddx39b"
"66","H2-Q2"
"67","RP23-81C12.1"
"68","RP23-81C12.3"
"69","Fndc1"
"70","Gm25555 Zfp811"
"71","Btnl4"
"72","Btnl5-ps"
"73","Btnl6"
"74","RP24-180B11.5"
"75","n-R5s25"
"76","Eif4ebp3 Ankhd1"
"77","n-R5-8s1"
"78","RP23-140G16.1"
"79","Gm23997"
"80","Ahnak"
"81","Btaf1"
"82","Cyp2c65"
"83","AC132303.1"
"84","Dusp5"
"85","Ppnr Tcf7l2"
"86","Ndufs8 Tcirg1"
"87","RP23-41B18.5"
"88","Malat1"
"89","Neat1"
"90","RP23-341M13.1"
"91","Ifit1bl1"
"92","Lrrc8a RP23-395P6.10"
"93","March7"
"94","RP23-297K24.1"
"95","RP23-22A15.2"
"96","Entpd6"
"97","Baz2b"
"98","Ctnnd1 RP23-387F9.7"
"99","Duox2"
"100","Plagl2"
"101","Zfp217"
"102","Atp11b"
"103","RP23-243E17.1"
"104","Gm23511"
"105","RP23-346I1.1 Mgst2"
"106","Mgst2"
"107","Tsc22d2"
"108","Sprr2a2"
"109","Trim2"
"110","Gm26400"
"111","RP23-398D18.4"
"112","RP24-16C11.2"
"113","RP23-273D6.2"
"114","Gm22042"
"115","RP23-211P15.1"
"116","RP23-284L6.7"
"117","Snhg3 Rcc1"
"118","Vps13d"
"119","Btbd8 RP23-32E20.1"
"120","Rplp0 Gcn1l1"
"121","RP23-110C17.2"
"122","Sh3tc1"
"123","Tada2b"
"124","AC167815.1"
"125","Fryl"
"126","Ugt2b34"
"127","Zfp644"
"128","Muc3"
"129","CAAA01224633.1"
"130","WI1-166E14.1"
"131","Adap1"
"132","Nup205"
"133","Sval1"
"134","RP23-281H4.3"
"135","Il17rc Creld1"
"136","Plekha5"
"137","RP23-392I2.3 Wasl"
"138","Kbtbd2"
"139","Igkv8-30"
"140","Dusp16"
"141","n-R5s150"
"142","Fcgbp"
"143","Rpl18 Fam83e"
"144","Rsf1"
"145","RP23-386F15.3"
"146","Tmc4 Leng1"
"147","n-R5s152"
"148","AC164564.3"
"149","RP23-285C18.2"
"150","Prss8"
"151","Ppfia1"
"152","Fat1"
"153","RP23-359B23.5"
"154","Pdp2"
"155","AC124713.2"
"156","Dpep1 AC114005.5"
"157","RP23-310J6.1"
"158","RP24-345M16.1"
"159","Snord14c Hspa8"
"160","Pkm Gramd2"
"161","n-R5s86"
"162","Myo5c"
"163","Tmppe"
"164","RP23-424C4.5"
"165","Fam46a"
"166","Gm23017 RP23-46B12.5"
"167","Rbm6"
"168","mt-Rnr1"
"169","mt-Rnr2"
"170","mt-Ti"
"171","mt-Tm"
"172","mt-Ts2"
"173","mt-Tc"
"174","RP23-145N17.1"
"175","Xist"
