"","HF_4_miRNA","HF_5_miRNA","HF_6_miRNA","HFK_4_miRNA","HFK_5_miRNA","HFK_6_miRNA"
"mmu-let-7a-5p",778.948729604114,454.055513161132,913.248147794632,703.817259380308,1264.53098245687,584.516188095541
"mmu-let-7b-3p",33.1669167106375,27.2297159317021,17.9508235438748,24.6472970211003,11.9923907714561,17.3511298878083
"mmu-let-7b-5p",4650.00172283137,3268.24665470254,5040.44166092385,4070.91189131839,5453.87282528555,3430.1014896961
"mmu-let-7c-5p",2462.88047231276,1833.92136800013,3006.01499261804,2737.21926362108,3924.17675799314,2335.89586114619
"mmu-let-7d-3p",1139.9943086542,684.827355682307,506.362814133469,625.767485480157,426.39611631844,572.587286297673
"mmu-let-7d-5p",295.65937182054,253.917101063122,451.014441539855,375.186632432304,487.690558039216,259.182502699136
"mmu-let-7e-5p",11.37151430079,3.40371449146276,11.9672156959166,2.73858855790003,3.99746359048538,1.08444561798802
"mmu-let-7f-1-3p",10.4238881090575,2.72297159317021,2.99180392397914,5.47717711580006,5.3299514539805,6.5066737079281
"mmu-let-7f-2-3p",5.68575715039499,4.76520028804786,4.48770588596871,4.10788283685004,5.3299514539805,2.16889123597604
"mmu-let-7f-5p",747.677065276942,533.021689363068,748.698931975779,591.535128506406,712.881006969892,456.551605172955
"mmu-let-7g-3p",5.68575715039499,17.6993153556063,8.22746079094263,17.8008256263502,13.3248786349513,17.3511298878083
"mmu-let-7g-5p",203.739631222487,172.908696166308,310.399657112836,220.456378910952,418.401189137469,204.960221799735
"mmu-let-7i-3p",36.009795285835,24.5067443385318,21.6905784488488,27.3858855790003,21.319805815922,14.0977930338442
"mmu-let-7i-5p",3436.09257122204,2709.35673520435,3995.55414047414,3735.43479297564,5657.7434684003,3318.40359104333
"mmu-let-7j",0,0.680742898292551,1.49590196198957,1.36929427895001,7.99492718097075,2.16889123597604
"mmu-miR-100-5p",1.895252383465,1.3614857965851,3.73975490497392,1.36929427895001,0,0
"mmu-miR-101a-3p",692.714746156457,775.366161155216,1207.94083430658,850.331747227959,1600.31792405765,861.049820682486
"mmu-miR-101a-5p",18.95252383465,41.5253167958456,25.4303333538227,43.8174169264005,13.3248786349513,29.2800316856765
"mmu-miR-101b-3p",1365.52934228653,1259.37436184122,1486.17859923664,1502.11582400817,2313.19893102754,1689.56627282533
"mmu-miR-103-1-5p",24.638280985045,15.6570866607287,17.20287256288,24.6472970211003,14.6573664984464,16.2666842698203
"mmu-miR-103-2-5p",88.1292358311224,66.0320611343775,50.8606667076454,60.2489482738007,62.6269295842709,65.0667370792811
"mmu-miR-103-3p",981.740734634869,867.947195323003,1391.1888246503,1283.02873937616,2189.27755972249,1400.01929282253
"mmu-miR-106a-5p",8.52863572559249,12.2533721692659,11.2192647149218,13.6929427895001,11.9923907714561,8.67556494390414
"mmu-miR-106b-3p",357.255074283152,323.352876688962,243.8320198043,350.539335411204,183.883325162327,279.786969440909
"mmu-miR-106b-5p",1027.22679183803,883.604281983732,735.983765298868,729.833850680358,636.92919875067,872.978722480354
"mmu-miR-107-3p",36.009795285835,36.0793736095052,55.3483725936141,42.4481226474505,47.9695630858245,39.0400422475686
"mmu-miR-10a-3p",46.4336833948924,54.4594318634041,100.225431453301,50.6638883211506,105.266541216115,58.5600633713529
"mmu-miR-10a-5p",1705.7271451185,1203.55344418123,1846.69097207612,2248.38120603592,2915.48344532733,1984.53548091807
"mmu-miR-10b-3p",12.3191404925225,2.04222869487765,12.7151666769113,2.73858855790003,7.99492718097075,2.16889123597604
"mmu-miR-10b-5p",181.94422881264,104.15366343876,202.694715849587,116.390013710751,214.530546022715,145.315712810394
"mmu-miR-1191b-5p",0,0,0,2.73858855790003,0,1.08444561798802
"mmu-miR-1194",1.895252383465,2.04222869487765,0.747950980994785,0,3.99746359048538,0
"mmu-miR-1195",1.895252383465,2.04222869487765,0.747950980994785,2.73858855790003,0,0
"mmu-miR-1198-3p",1.895252383465,2.04222869487765,0,2.73858855790003,0,4.33778247195207
"mmu-miR-1198-5p",982.688360826601,961.889715287375,881.834206592851,1133.77566297061,718.210958423873,893.583189222126
"mmu-miR-1224-5p",7.58100953385999,6.12668608463296,2.99180392397914,2.73858855790003,0,1.08444561798802
"mmu-miR-1247-5p",20.847776218115,38.8023452026754,11.9672156959166,121.867190826551,134.581274213008,290.631425620789
"mmu-miR-1249-3p",0,0,0,1.36929427895001,1.33248786349513,2.16889123597604
"mmu-miR-125a-3p",7.58100953385999,2.04222869487765,5.23565686696349,0,0,1.08444561798802
"mmu-miR-125a-5p",54.0146929287524,98.0269773541274,46.3729608216766,31.4937684158503,37.3096601778635,20.6044667417723
"mmu-miR-125b-2-3p",1.895252383465,3.40371449146276,0,0,0,0
"mmu-miR-125b-5p",77.7053477220649,33.356402016335,52.3565686696349,38.3402398106004,42.639611631844,35.7867053936046
"mmu-miR-126a-3p",32.219290518905,23.1452585419467,17.9508235438748,26.0165913000503,17.3223422254366,21.6889123597603
"mmu-miR-126a-5p",23.6906547933125,26.5489730334095,23.1864804108383,41.0788283685004,29.3147329968928,45.5467159554967
"mmu-miR-127-3p",56.8575715039499,86.454348083154,53.8524706316245,20.5394141842502,10.659902907961,31.4489229216525
"mmu-miR-128-3p",128.87716207562,66.71280403267,66.5676373085358,58.8796539948506,55.9644902667953,50.9689440454368
"mmu-miR-129-1-3p",0.947626191732499,4.08445738975531,2.24385294298435,2.73858855790003,0,0
"mmu-miR-129-5p",4.73813095866249,3.40371449146276,5.23565686696349,4.10788283685004,0,2.16889123597604
"mmu-miR-1306-3p",1.895252383465,1.3614857965851,4.48770588596871,1.36929427895001,5.3299514539805,0
"mmu-miR-1306-5p",0,0.680742898292551,0,1.36929427895001,1.33248786349513,0
"mmu-miR-130a-3p",55.9099453122174,24.5067443385318,41.1373039547132,41.0788283685004,61.2944417207758,29.2800316856765
"mmu-miR-130b-3p",284.28785751975,126.618179082415,308.155804169851,151.991664963452,163.8960072099,132.302365394538
"mmu-miR-130b-5p",0,7.48817188121807,7.47950980994785,21.9087084632002,22.6522936794171,19.5200211237843
"mmu-miR-132-3p",112.767516816167,127.298921980707,94.9897745863376,72.5725967843508,73.2868324922319,83.5023125850773
"mmu-miR-132-5p",0,0,1.49590196198957,1.36929427895001,2.66497572699025,0
"mmu-miR-133a-3p",59.7004500791474,257.320815554584,81.5266569284315,123.236485105501,85.279223263688,156.160168990275
"mmu-miR-134-5p",9.47626191732499,8.16891477951062,5.98360784795828,2.73858855790003,2.66497572699025,2.16889123597604
"mmu-miR-135a-5p",5.68575715039499,3.40371449146276,6.73155882895306,1.36929427895001,7.99492718097075,6.5066737079281
"mmu-miR-135b-5p",1.895252383465,0,2.99180392397914,1.36929427895001,19.9873179524269,4.33778247195207
"mmu-miR-136-3p",0.947626191732499,3.40371449146276,4.48770588596871,2.73858855790003,5.3299514539805,0
"mmu-miR-136-5p",148.777312102002,180.396868047526,87.5102647763898,28.7551798579503,57.2969781302904,75.9111932591612
"mmu-miR-137-3p",87.1816096393899,56.5016605582818,83.7705098714159,15.0622370684502,33.3121965873781,29.2800316856765
"mmu-miR-138-5p",9.47626191732499,14.2956008641436,12.7151666769113,2.73858855790003,2.66497572699025,4.33778247195207
"mmu-miR-139-3p",168.677462128385,454.736256059424,255.051284519222,198.547670447752,249.175230473588,411.004889217459
"mmu-miR-139-5p",300.397502779202,439.079169398696,313.391461036815,528.547591674706,567.639829848923,610.542882927254
"mmu-miR-140-3p",698.400503306852,1003.41503208322,772.633363367613,1903.31904774052,1453.74425907318,1888.01982091714
"mmu-miR-140-5p",1446.07756858379,1121.18355348783,1273.01256965312,1681.49337455062,1665.60982936891,1814.27751889395
"mmu-miR-141-3p",7289.14066680638,4810.12931933517,6045.68777938084,7880.28857535734,9266.1206027451,8024.89757311133
"mmu-miR-141-5p",1784.3801190323,1733.17141905284,1470.47162863575,1562.36477228197,1698.92202595628,1672.21514293752
"mmu-miR-142a-3p",560.994705505639,509.876430821121,700.830069192113,925.64293257021,1048.66794857066,799.236420457169
"mmu-miR-143-3p",113.7151430079,27.2297159317021,26.9262353158122,52.0331826001006,31.979708723883,41.2089334835447
"mmu-miR-143-5p",36.9574214775675,45.6097741856009,32.1618921827757,45.1867112053505,31.979708723883,41.2089334835447
"mmu-miR-144-3p",1.895252383465,0,0.747950980994785,4.10788283685004,1.33248786349513,1.08444561798802
"mmu-miR-144-5p",2.8428785751975,0,2.24385294298435,2.73858855790003,1.33248786349513,1.08444561798802
"mmu-miR-145a-3p",2.8428785751975,0.680742898292551,0,0,0,0
