seqnames,start,end,width,strand,count,name,exon,intron,utr5,utr5.,utr3,utr3.,intergenic,mirna,annot,target_gene,hfk.hf.padj,hfk.hf.log2FC,seed.8mer,seed.7m8,seed.7A1,seed.6mer,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID
chr1,34087460,34087518,59,+,6887,peak2,NA,Dst,NA,NA,NA,NA,FALSE,NA,intron,Dst,9.533036993536366e-4,-6.901766473859298,NA,NA,NA,NA,ENSMUSG00000026131 ENSMUSG00000042046 ENSMUSG00000015932,Q91ZU6 Q6XUX1 Q9R0P5,13518 213452 56431
chr1,55071734,55071780,47,+,1426,peak8,Coq10b,NA,NA,NA,NA,NA,FALSE,NA,exon,Coq10b,1.0873426576631813e-4,-4.036258921678497,NA,NA,miR-378-3p,let-7-5p/miR-98-5p,ENSMUSG00000025981,Q3THF9,67876
chr1,78672616,78672662,47,+,1445,peak15,NA,Acsl3,NA,NA,NA,Utp14b,FALSE,NA,utr3*,Utp14b,7.833826017153094e-6,-6.773054049717375,NA,NA,miR-141-5p/6769b-3p,NA,ENSMUSG00000079470,Q6EJB6,195434
chr1,85674917,85674964,48,+,6540,peak16,n-R5s215,Sp100,NA,NA,Sp100,NA,FALSE,NA,utr3,Sp100,4.697642756005807e-11,-5.628010618861809,NA,NA,NA,NA,ENSMUSG00000026222,O35892,20684
chr1,86306578,86306612,35,+,1523,peak19,B3gnt7,NA,NA,NA,B3gnt7,NA,FALSE,NA,utr3,B3gnt7,4.149816721271242e-5,-3.108824357478077,NA,NA,miR-27-3p,NA,ENSMUSG00000079445,Q8K0J2,227327
chr1,88163815,88163885,71,+,1250,peak22,NA,Ugt1a6a,NA,NA,NA,NA,FALSE,NA,intron,Ugt1a6a,2.453672172487566e-6,-6.756921952091989,NA,NA,NA,NA,ENSMUSG00000054545,Q64435,94284
chr1,90949034,90949098,65,+,2227,peak25,Mlph,NA,NA,NA,Mlph,NA,FALSE,NA,utr3,Mlph,1.3208141103338592e-5,-6.692092417561284,NA,NA,NA,NA,ENSMUSG00000026303,Q91V27,171531
chr1,37528598,37528650,53,-,1744,peak50,NA,Mgat4a,NA,NA,NA,NA,FALSE,NA,intron,Mgat4a,2.5764751438344758e-5,-6.685742077440955,NA,NA,NA,NA,ENSMUSG00000026110,Q812G0,269181
chr1,138878293,138878343,51,-,2946,peak65,n-R5s217,NA,NA,NA,NA,NA,FALSE,NA,exon,n-R5s217,7.621783825336659e-7,-4.734720036364629,NA,NA,NA,miR-10-5p,ENSMUSG00000065275,"NA","NA"
chr10,10101055,10101100,46,+,7928,peak71,Gm25682,RP23-245C15.1,NA,NA,NA,NA,FALSE,NA,exon,Gm25682 RP23-245C15.1,4.191092207336679e-16,-6.053134130198883,NA,NA,NA,NA,NA,"NA",NA
chr10,12363418,12363470,53,+,3120,peak72,Gm23680,NA,NA,NA,NA,NA,FALSE,NA,exon,Gm23680,9.513529346894979e-8,-5.927974403324797,NA,NA,NA,miR-10-5p,ENSMUSG00000065096,"NA",NA
chr10,20196437,20196497,61,+,2098,peak74,NA,Map7,NA,NA,NA,NA,FALSE,NA,intron,Map7,0.005364162652343027,-7.460083973628875,NA,NA,NA,NA,ENSMUSG00000019996,O88735 A2AG50,17761
chr10,79828412,79828461,50,+,1489,peak85,NA,Misp,NA,NA,NA,NA,FALSE,NA,intron,Misp,4.2428898797371986e-5,-3.5506309413099792,NA,NA,NA,NA,ENSMUSG00000035852,Q9D279,78906
chr10,105040377,105040424,48,+,11483,peak92,Gm25587,NA,NA,NA,NA,NA,FALSE,NA,exon,Gm25587,5.902587013967396e-26,-6.91721996357153,NA,NA,NA,NA,ENSMUSG00000064432,"NA",NA
chr10,128282714,128282767,54,+,1192,peak99,Stat2,NA,NA,NA,NA,NA,FALSE,NA,exon,Stat2,0.0015683528092163542,-2.9416718007515317,NA,NA,NA,NA,ENSMUSG00000040033,Q9WVL2,20847
chr10,89414607,89414661,55,-,2222,peak112,NA,Gas2l3,NA,NA,NA,NA,FALSE,NA,intron,Gas2l3,3.098633077316194e-7,-7.885397416024803,NA,NA,NA,NA,ENSMUSG00000074802,Q3UWW6,237436
chr11,57764464,57764512,49,+,2004,peak135,n-R5s69,Galnt10,NA,NA,NA,NA,FALSE,NA,exon,n-R5s69 Galnt10,2.8095817556060453e-5,-5.133544235576507,NA,NA,NA,miR-10-5p,NA,Q6P9S7,NA
chr11,58382277,58382322,46,+,56441,peak137,Lypd8,Lypd8,Lypd8,Lypd8,NA,NA,FALSE,NA,utr5,Lypd8,7.688835176699417e-5,-2.077659796633486,miR-185-5p,NA,NA,NA,ENSMUSG00000013643,Q9D7S0,70163
chr11,67176406,67176465,60,+,2472,peak142,NA,Myh2,NA,NA,NA,NA,FALSE,NA,intron,Myh2,8.083197918617822e-8,-7.967646357030727,NA,NA,NA,NA,ENSMUSG00000033196,I6L963,17882
