"","seqnames","start","end","width","strand","count","name","exon","intron","utr5","utr5.","utr3","utr3.","intergenic","mirna","annot","score","input.log2FC","input.padj","targeting_mirna_6mer","targeting_mirna_7mer","targeting_mirna_8mer"
"peak137","chr1",40743886,40743953,68,"+",1983,"peak137","Slc9a2",NA,NA,NA,NA,NA,FALSE,NA,"exon",1.6430668058063,2.15877162229371,0.0227474748842828,"miR-15a-5p,miR-15b-5p,miR-16-5p,miR-195a-5p,miR-195b,miR-503-5p,miR-6346,miR-6350,miR-6353miR-130a-3p,miR-130b-3p,miR-130c,miR-148a-3p,miR-148b-3p,miR-152-3p,miR-291b-3p,miR-301a-3p,miR-301b-3p,miR-350-5p,miR-6341,miR-6389,miR-721",NA,NA
"peak142","chr1",40768118,40768173,56,"+",3301,"peak142","Slc9a2",NA,NA,NA,"Slc9a2",NA,FALSE,NA,"utr3",1.49564822282156,1.6827228530633,0.0319412403808721,"miR-103-3p,miR-107-3p,miR-12186-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-503-5p,miR-6342,miR-6353,miR-6419",NA,NA
"peak145","chr1",40768427,40768499,73,"+",4854,"peak145","Slc9a2",NA,NA,NA,"Slc9a2",NA,FALSE,NA,"utr3",3.47132666327863,2.77000065075475,0.000337810649587307,"miR-7224-5pmiR-24-3p,miR-3620-3p,miR-5112,miR-5124b,miR-6361,miR-6369,miR-6410,miR-6413",NA,NA
"peak147","chr1",40768618,40768673,56,"+",2555,"peak147","Slc9a2",NA,NA,NA,"Slc9a2",NA,FALSE,NA,"utr3",1.78448728710631,2.24206895869819,0.0164252773989622,"miR-103-3p,miR-107-3p,miR-12186-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-503-5p,miR-6342,miR-6353,miR-6419",NA,NA
"peak152","chr1",40769065,40769117,53,"+",2517,"peak152","Slc9a2",NA,NA,NA,"Slc9a2",NA,FALSE,NA,"utr3",2.13951408977931,2.91316358508929,0.00725246948583872,"let-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7j,let-7k,miR-1961,miR-202-3p,miR-98-5pmiR-194-5plet-7d-5p,miR-1902,miR-202-3p,miR-329-5p,miR-377-5pmiR-130a-3p,miR-130b-3p,miR-130c,miR-148a-3p,miR-148b-3p,miR-152-3p,miR-291b-3p,miR-301a-3p,miR-301b-3p,miR-350-5p,miR-6341,miR-6389,miR-721","let-7d-5p,miR-202-3p",""
"peak211","chr1",61786706,61786760,55,"+",1798,"peak211",NA,"Pard3b",NA,NA,NA,NA,FALSE,NA,"intron",3.67808352536961,5.70261408742773,0.000209853624535661,"miR-194-5pmiR-194-5p,miR-379-3p,miR-411-3pmiR-214-3p,miR-21a-3p,miR-383-3p,miR-7649-5p","miR-194-5p",""
"peak215","chr1",62638138,62638195,58,"+",2982,"peak215","Pard3b",NA,NA,NA,"Pard3b",NA,FALSE,NA,"utr3",2.96784500301042,4.86942710923495,0.00107684946590947,"miR-26a-5p,miR-26b-5p,miR-6371miR-26a-5p,miR-26b-5p,miR-6371","miR-26a-5p,miR-26b-5p,miR-6371",NA
"peak216","chr1",62638616,62638675,60,"+",3999,"peak216","Pard3b",NA,NA,NA,"Pard3b",NA,FALSE,NA,"utr3",4.43001966092753,6.30101824436214,3.71518409721895e-05,"miR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-369-3p,miR-374c-5p,miR-429-3pmiR-103-3p,miR-107-3p,miR-12186-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-503-5p,miR-6342,miR-6353,miR-6419miR-18b-3p,miR-217-5p","miR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-429-3p","miR-200b-3p,miR-200c-3p,miR-429-3p"
"peak253","chr1",74419563,74419609,47,"+",2091,"peak253","Vil1","Vil1",NA,NA,NA,NA,FALSE,NA,"exon",1.56869174896133,1.47190978415612,0.0269965489811165,NA,NA,NA
"peak260","chr1",74422930,74422982,53,"+",4617,"peak260","Vil1",NA,NA,NA,NA,NA,FALSE,NA,"exon",3.23467646556355,2.29757393388925,0.000582537026192655,"miR-18b-3p,miR-217-5p",NA,NA
"peak278","chr1",74435141,74435247,107,"+",3559,"peak278","Vil1",NA,NA,NA,"Vil1",NA,FALSE,NA,"utr3",2.35091924658095,2.12463234503653,0.00445739122146406,NA,NA,NA
"peak343","chr1",85850500,85850563,64,"+",4227,"peak343","Cab39",NA,NA,NA,"Cab39","Cab39",FALSE,NA,"utr3",3.28487367515247,4.50402009596598,0.000518950966170765,"miR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-429-3pmiR-103-3p,miR-107-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1906,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-6342,miR-6353,miR-6419,miR-761miR-6985-5p,miR-883b-5p","miR-200b-3p,miR-200c-3p,miR-429-3p",""
"peak386","chr1",87943898,87943950,53,"+",2684,"peak386","Dgkd","Dgkd",NA,NA,"Dgkd",NA,FALSE,NA,"utr3",3.25495225446328,4.50836465672774,0.000555965375721766,"miR-103-3p,miR-107-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1906,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-6342,miR-6353,miR-6419,miR-761",NA,NA
"peak515","chr1",127379439,127379491,53,"+",1562,"peak515",NA,"Mgat5",NA,NA,NA,NA,FALSE,NA,"intron",2.641519414065,4.61689782676488,0.00228286687245815,"miR-194-5pmiR-132-3p,miR-194-5p,miR-212-3p,miR-6997-5pmiR-194-5p,miR-379-3p,miR-411-3pmiR-21a-3p,miR-6981-3p","miR-194-5pmiR-194-5p","miR-194-5p"
"peak517","chr1",127484332,127484387,56,"+",1774,"peak517","Mgat5",NA,NA,NA,"Mgat5","Mgat5",FALSE,NA,"utr3",2.21801834565388,3.10022061535384,0.00605315304224984,"let-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7j,let-7k,miR-1961,miR-202-3p,miR-98-5plet-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7k,miR-1839-5p,miR-1961,miR-196a-5p,miR-196b-5p,miR-3962,miR-98-5pmiR-132-3p,miR-194-5p,miR-212-3p,miR-6997-5pmiR-1193-5p,miR-1839-5p,miR-376a-5p,miR-379-5plet-7d-5p,miR-1902,miR-202-3p,miR-329-5p,miR-377-5pmiR-21a-3p,miR-6981-3pmiR-214-3p,miR-21a-3p,miR-383-3p,miR-7649-5p","let-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7k,miR-1961,miR-98-5pmiR-1839-5plet-7d-5p,miR-202-3p","let-7d-5p"
"peak593","chr1",132332741,132332811,71,"+",4023,"peak593","Nuak2",NA,NA,NA,"Nuak2",NA,FALSE,NA,"utr3",2.66248501313494,3.29067260109844,0.00217527909841289,"miR-103-3p,miR-107-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1906,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-6342,miR-6353,miR-6419,miR-761miR-103-3p,miR-107-3p,miR-12186-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-503-5p,miR-6342,miR-6353,miR-6419miR-1906,miR-214-3p,miR-322-5p,miR-497a-5p,miR-5626-3p,miR-6340,miR-6342,miR-6419,miR-6969-5p,miR-7024-3p,miR-761miR-21a-3p,miR-6981-3pmiR-214-3p,miR-21a-3p,miR-383-3p,miR-7649-5p","miR-103-3p,miR-107-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-6342,miR-6353,miR-6419",NA
"peak594","chr1",132332868,132332947,80,"+",4535,"peak594","Nuak2",NA,NA,NA,"Nuak2",NA,FALSE,NA,"utr3",3.3151951846849,3.59500520560633,0.000483954815204536,"miR-26a-5p,miR-26b-5p,miR-6371miR-21a-3p,miR-6981-3p",NA,NA
"peak595","chr1",132333014,132333074,61,"+",11067,"peak595","Nuak2",NA,NA,NA,"Nuak2",NA,FALSE,NA,"utr3",6.157058226584,5.98191166193682,6.96533122495321e-07,"miR-103-3p,miR-107-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1906,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-6342,miR-6353,miR-6419,miR-761miR-103-3p,miR-107-3p,miR-12186-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-503-5p,miR-6342,miR-6353,miR-6419miR-214-3p,miR-21a-3p,miR-383-3p,miR-7649-5p","miR-103-3p,miR-107-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-6342,miR-6353,miR-6419",NA
"peak596","chr1",132333144,132333202,59,"+",2380,"peak596","Nuak2",NA,NA,NA,"Nuak2",NA,FALSE,NA,"utr3",2.57344433360102,4.08088505754456,0.0026702730117656,NA,NA,NA
"peak712","chr1",151354033,151354092,60,"+",4741,"peak712","Ivns1abp",NA,NA,NA,NA,NA,FALSE,NA,"exon",3.04966351355265,2.83053389025358,0.000891941736846511,"miR-194-5pmiR-194-5p,miR-379-3p,miR-411-3p","miR-194-5p",NA
"peak714","chr1",151356013,151356067,55,"+",2476,"peak714","Ivns1abp","Ivns1abp",NA,NA,"Ivns1abp",NA,FALSE,NA,"utr3",2.79145040197269,4.17896552222019,0.00161640281471318,"miR-147-3p,miR-210-3pmiR-210-3p","miR-210-3p",NA
"peak718","chr1",151363666,151363715,50,"+",36466,"peak718","Ivns1abp",NA,NA,NA,"Ivns1abp","Ivns1abp",FALSE,NA,"utr3",21.8643918445383,5.85431485558511,1.36649534142976e-22,NA,NA,NA
"peak763","chr1",153908542,153908611,70,"+",5006,"peak763","Glul",NA,NA,NA,"Glul",NA,FALSE,NA,"utr3",1.48329756687794,1.53987653467363,0.0328626387772715,"miR-132-3p,miR-194-5p,miR-212-3p,miR-6997-5pmiR-21a-3p,miR-6981-3p","",NA
"peak764","chr1",153908694,153908750,57,"+",3132,"peak764","Glul",NA,NA,NA,"Glul",NA,FALSE,NA,"utr3",1.98824105502204,1.86504290074259,0.0102744585631467,NA,NA,NA
"peak769","chr1",153909386,153909440,55,"+",2153,"peak769","Glul",NA,NA,NA,"Glul",NA,FALSE,NA,"utr3",2.65164004672545,2.81025143217037,0.00223028289329506,"miR-194-5pmiR-132-3p,miR-194-5p,miR-212-3p,miR-6997-5pmiR-802-5plet-7d-5p,miR-1902,miR-202-3p,miR-329-5p,miR-377-5p","miR-194-5p",""
"peak770","chr1",153909470,153909570,101,"+",1849,"peak770","Glul",NA,NA,NA,"Glul",NA,FALSE,NA,"utr3",1.70951947716722,2.10317213068805,0.0195200318896349,NA,NA,NA
"peak887","chr1",172498360,172498449,90,"+",2897,"peak887","Igsf9",NA,NA,"Tagln2","Igsf9","Igsf9",FALSE,NA,"utr3",2.71475129930857,2.49068278979007,0.00192862903512544,"miR-103-3p,miR-107-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1906,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-6342,miR-6353,miR-6419,miR-761",NA,NA
"peak888","chr1",172498479,172498530,52,"+",1359,"peak888","Igsf9",NA,NA,"Tagln2","Igsf9","Igsf9",FALSE,NA,"utr3",2.72619179485104,4.68253566003634,0.00187848704869551,"miR-7237-5p",NA,NA
"peak889","chr1",172498614,172498677,64,"+",1839,"peak889","Igsf9",NA,NA,"Tagln2","Igsf9","Igsf9",FALSE,NA,"utr3",2.96635737677207,4.87689473529975,0.0010805444156963,"let-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7j,let-7k,miR-1961,miR-202-3p,miR-98-5plet-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7k,miR-1839-5p,miR-1961,miR-196a-5p,miR-196b-5p,miR-3962,miR-98-5pmiR-7224-5plet-7d-5p,miR-1902,miR-202-3p,miR-329-5p,miR-377-5p","let-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7k,miR-1961,miR-98-5plet-7d-5p,miR-202-3p","let-7d-5p"
