"","seqnames","start","end","width","strand","count","name","exon","intron","utr5","utr5.","utr3","utr3.","intergenic","mirna","annot","score","input.log2FC","input.padj","targeting_mirna_6mer","targeting_mirna_7mer","targeting_mirna_8mer"
"peak3","chr1",4836995,4837043,49,"+",1727,"peak3","Lypla1","Lypla1",NA,NA,"RP24-426M1.3",NA,FALSE,NA,"utr3",2.6065960158045,3.48978090656906,0.00247402443226283,"miR-6985-5p,miR-883b-5p",NA,NA
"peak13","chr1",12805197,12805252,56,"+",2983,"peak13","Sulf1",NA,NA,NA,NA,NA,FALSE,NA,"exon",4.07347294144229,6.02183632529299,8.44358847737162e-05,NA,"",""
"peak42","chr1",24763073,24763136,64,"+",4834,"peak42","Lmbrd1",NA,NA,NA,"Lmbrd1","Lmbrd1",FALSE,NA,"utr3",4.03583140779148,6.03902761005208,9.20806957713382e-05,NA,NA,NA
"peak55","chr1",34255601,34255653,53,"+",9294,"peak55",NA,"Dst",NA,NA,NA,NA,FALSE,NA,"intron",7.37166263692588,7.59487306179223,4.24949539621788e-08,"miR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-369-3p,miR-374c-5p,miR-429-3p","miR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-429-3p","miR-200b-3p,miR-200c-3p,miR-429-3p"
"peak57","chr1",34274163,34274216,54,"+",2085,"peak57","Dst","Dst",NA,NA,NA,NA,FALSE,NA,"exon",3.89763230809731,5.5010165253573,0.000126580757965875,NA,NA,NA
"peak59","chr1",34307565,34307647,83,"+",2205,"peak59","Dst",NA,NA,NA,"Dst",NA,FALSE,NA,"utr3",2.85002890812426,4.19819286661048,0.00141244352442777,NA,"miR-25-3p,miR-32-5p,miR-363-3p,miR-367-3p,miR-92a-3p,miR-92b-3p",NA
"peak60","chr1",34443439,34443487,49,"+",1894,"peak60","Imp4",NA,NA,NA,"Imp4","Imp4",FALSE,NA,"utr3",3.01856255608825,4.91098750622202,0.000958158692501721,"let-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7j,let-7k,miR-1961,miR-202-3p,miR-98-5plet-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7k,miR-1839-5p,miR-1961,miR-196a-5p,miR-196b-5p,miR-3962,miR-98-5pmiR-196a-5p,miR-196b-5p,miR-3962","let-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7k,miR-1961,miR-98-5pmiR-196a-5p,miR-196b-5p,miR-3962",""
"peak61","chr1",34860377,34860430,54,"+",4161,"peak61",NA,"Plekhb2",NA,"Plekhb2",NA,NA,FALSE,NA,"utr5*",4.1889430676985,6.1091787843302,6.47227456185373e-05,NA,NA,NA
"peak66","chr1",34877211,34877279,69,"+",4247,"peak66","Plekhb2",NA,NA,NA,"Plekhb2",NA,FALSE,NA,"utr3",1.97836253543831,1.68711290523125,0.0105108409540358,"miR-214-3p,miR-21a-3p,miR-383-3p,miR-7649-5p",NA,NA
"peak77","chr1",34878332,34878393,62,"+",1374,"peak77","Plekhb2","Plekhb2",NA,NA,"Plekhb2",NA,FALSE,NA,"utr3",1.50977432564842,2.09594062270715,0.0309190167361264,"miR-29a-3p,miR-29b-3p,miR-29c-3p,miR-3065-3p,miR-3102-3p,miR-3547-3p,miR-770-5p",NA,NA
