"","seqnames","start","end","width","strand","count","name","exon","intron","utr5","utr5.","utr3","utr3.","intergenic","mirna","annot","score","input.log2FC","input.padj","targeting_mirna_6mer","targeting_mirna_7mer","targeting_mirna_8mer"
"peak4","chr1",34087460,34087518,59,"+",6887,"peak4",NA,"Dst",NA,NA,NA,NA,FALSE,NA,"intron",7.67012875966661,8.24949359967706,2.13732832026647e-08,"miR-3473c,miR-6896-3p,miR-6975-3p,miR-7649-3pmiR-1896,miR-6973b-3p,miR-7063-3p","",""
"peak10","chr1",36498480,36498528,49,"+",1624,"peak10","Cnnm4",NA,NA,NA,NA,NA,FALSE,NA,"exon",4.13598559810002,5.10464103914273,7.31163329627421e-05,NA,NA,NA
"peak13","chr1",37005475,37005526,52,"+",29165,"peak13","n-R5s210",NA,NA,NA,NA,NA,FALSE,NA,"exon",1.53712251977303,0.909270503828863,0.0290320350978668,"miR-7062-3pmiR-21a-5p,miR-21c,miR-3101-3p,miR-7072-3p,miR-7223-5pmiR-5622-3pmiR-374c-3p,miR-5622-3pmiR-101cmiR-26a-5p,miR-26b-5pmiR-551b-3pmiR-3105-3p,miR-3965miR-383-5p,miR-465a-3p,miR-465b-3p,miR-465c-3p,miR-465d-3pmiR-718,miR-7685-5pmiR-383-5pmiR-1188-3p,miR-615-3pmiR-3063-5p,miR-3471miR-6990-3p,miR-7017-3p","miR-7072-3pmiR-5622-3pmiR-3105-3pmiR-383-5pmiR-7017-3pmiR-383-5p","miR-7017-3pmiR-383-5p"
"peak22","chr1",55071734,55071780,47,"+",1426,"peak22","Coq10b",NA,NA,NA,NA,NA,FALSE,NA,"exon",2.76275873518947,3.81187747702806,0.00172679691783154,NA,NA,NA
"peak28","chr1",60402389,60402436,48,"+",1850,"peak28",NA,NA,NA,NA,NA,NA,TRUE,NA,"intergenic",2.51276089754454,2.89385428081959,0.0030707121151647,"miR-7218-3pmiR-7062-3pmiR-21a-5p,miR-21c,miR-3101-3p,miR-7072-3p,miR-7223-5pmiR-5622-3pmiR-374c-3p,miR-5622-3pmiR-101cmiR-3105-3p,miR-3965","miR-7072-3pmiR-5622-3pmiR-1911-3p",""
"peak37","chr1",74421559,74421609,51,"+",735,"peak37","Vil1","Vil1",NA,NA,NA,NA,FALSE,NA,"exon",2.27181090375063,2.51157509966546,0.00534797164853512,"miR-7218-3pmiR-12202-3p,miR-207,miR-320-5p,miR-7028-3pmiR-205-5p,miR-6948-3p,miR-7117-3p,miR-712-5p","",NA
"peak39","chr1",74423694,74423744,51,"+",2164,"peak39","Vil1",NA,NA,NA,NA,NA,FALSE,NA,"exon",4.2997952991178,3.01702997365526,5.01423519500598e-05,NA,NA,NA
"peak40","chr1",74423929,74423977,49,"+",952,"peak40","Vil1",NA,NA,NA,NA,NA,FALSE,NA,"exon",2.35809060290341,2.39441651007528,0.0043843922065078,NA,NA,NA
"peak41","chr1",74426692,74426737,46,"+",1109,"peak41","Vil1","Vil1",NA,NA,NA,NA,FALSE,NA,"exon",2.56269166146182,2.80879795751192,0.00273721139023496,NA,NA,NA
"peak46","chr1",78667651,78667699,49,"+",1130,"peak46","Utp14b","Acsl3",NA,NA,"Utp14b","Utp14b",FALSE,NA,"utr3",4.71028507262596,6.44307967448703,1.94856513397356e-05,NA,NA,NA
