"","seqnames","start","end","width","strand","count","name","exon","intron","utr5","utr5.","utr3","utr3.","intergenic","mirna","annot","score","input.log2FC","input.padj","targeting_mirna_6mer","targeting_mirna_7mer","targeting_mirna_8mer"
"peak373","chr1",87238108,87238200,93,"+",2145,"peak373","Eif4e2",NA,NA,NA,"Eif4e2",NA,FALSE,NA,"utr3",2.61301811623253,3.98877467659363,0.0024377091292422,"miR-1906,miR-214-3p,miR-322-5p,miR-497a-5p,miR-5626-3p,miR-6340,miR-6342,miR-6419,miR-6969-5p,miR-7024-3p,miR-761miR-214-3p,miR-21a-3p,miR-383-3p,miR-7649-5p",NA,NA
"peak374","chr1",87238231,87238310,80,"+",2606,"peak374","Eif4e2",NA,NA,NA,"Eif4e2",NA,FALSE,NA,"utr3",3.89182116651463,5.82701571651941,0.000128285872860053,"miR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-369-3p,miR-374c-5p,miR-429-3pmiR-29a-3p,miR-29b-3p,miR-29c-3p,miR-3065-3p,miR-3102-3p,miR-3547-3p,miR-770-5pmiR-6985-5p,miR-883b-5pmiR-24-3p,miR-3620-3p,miR-5112,miR-5124b,miR-6361,miR-6369,miR-6410,miR-6413","miR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-429-3pmiR-369-3p,miR-374c-5p","miR-200b-3p,miR-200c-3p,miR-429-3p"
"peak1173","chr1",54645822,54645874,53,"-",1865,"peak1173","Ankrd44",NA,NA,NA,"Ankrd44",NA,FALSE,NA,"utr3",3.65814648430447,5.69600415300729,0.000219711867597413,"miR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-369-3p,miR-374c-5p,miR-429-3pmiR-6985-5p,miR-883b-5p","miR-200b-3p,miR-200c-3p,miR-429-3pmiR-200b-3p,miR-200c-3p,miR-429-3pmiR-369-3p,miR-374c-5p","miR-200b-3p,miR-200c-3p,miR-429-3p"
"peak1534","chr1",155846844,155846891,48,"-",3232,"peak1534","Cep350",NA,NA,NA,"Cep350",NA,FALSE,NA,"utr3",4.93954607762472,6.38941827560938,1.14935429315903e-05,"miR-29a-3p,miR-29b-3p,miR-29c-3p,miR-6345,miR-6357",NA,NA
"peak1536","chr1",155863072,155863128,57,"-",2600,"peak1536","Cep350",NA,NA,NA,NA,NA,FALSE,NA,"exon",4.37383754332975,6.11376403796843,4.22826751619373e-05,"miR-24-3p,miR-3620-3p,miR-5112,miR-5124b,miR-6361,miR-6369,miR-6410,miR-6413",NA,NA
"peak1537","chr1",155894677,155894727,51,"-",2933,"peak1537","Cep350",NA,NA,NA,NA,NA,FALSE,NA,"exon",3.66386093312253,4.79500509912707,0.000216839834369201,NA,"",""
"peak1635","chr1",165906714,165906764,51,"-",1427,"peak1635","Pou2f1",NA,NA,NA,NA,NA,FALSE,NA,"exon",3.27369039530483,5.50671298489011,0.000532487729783278,"let-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7j,let-7k,miR-1961,miR-202-3p,miR-98-5plet-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7k,miR-1839-5p,miR-1961,miR-196a-5p,miR-196b-5p,miR-3962,miR-98-5plet-7a-5p,let-7b-5p,let-7c-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7j,let-7k,miR-1961,miR-672-5p,miR-7674-5p,miR-98-5pmiR-196a-5p,miR-196b-5p,miR-3962","let-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7k,miR-1961,miR-98-5plet-7a-5p,let-7b-5p,let-7c-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7j,let-7k,miR-1961,miR-98-5pmiR-196a-5p,miR-196b-5p,miR-3962","let-7a-5p,let-7b-5p,let-7c-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7k,miR-1961,miR-98-5p"
"peak1643","chr1",168308712,168308761,50,"-",2587,"peak1643",NA,"Pbx1",NA,NA,NA,NA,FALSE,NA,"intron",4.24336308637186,6.04227296795007,5.71001058898365e-05,"miR-194-5pmiR-194-5p,miR-379-3p,miR-411-3p","miR-194-5p",""
"peak1802","chr10",24188486,24188570,85,"+",10571,"peak1802","Stx7",NA,NA,NA,"Stx7",NA,FALSE,NA,"utr3",6.58319944242952,6.12557290654982,2.61096203867648e-07,"miR-130a-3p,miR-130b-3p,miR-130c,miR-148a-3p,miR-148b-3p,miR-152-3p,miR-291b-3p,miR-301a-3p,miR-301b-3p,miR-350-5p,miR-6341,miR-6389,miR-721",NA,NA
"peak1985","chr10",72674331,72674397,67,"+",3205,"peak1985","Zwint",NA,NA,NA,"Zwint",NA,FALSE,NA,"utr3",4.46821751457297,6.27200816664207,3.4023774037238e-05,"miR-7224-5pmiR-1906,miR-214-3p,miR-322-5p,miR-497a-5p,miR-5626-3p,miR-6340,miR-6342,miR-6419,miR-6969-5p,miR-7024-3p,miR-761miR-214-3p,miR-21a-3p,miR-383-3p,miR-7649-5p",NA,NA
