Slc9a2,Q3ZAS0
Phf3,Q8BLA7
Trak2,Q6P9N8
Abca12,B2RY21
Aamp,Q3U9F0
AC124550.3,
n-R5s217,
Chchd10,Q7TNL9
Galnt4 Poc1b,
Zfc3h1,Q6A049
Utrn,E9Q6R7
Gm27783,
Pla2g3,Q6AXH0
Atp10b,B1AWN4
RP23-465K20.5,
RP23-67J22.4,
Nmt1 Gm26668,
Tug1,Tug1
Kdm6b Tmem88,
Lpo,Q5SW46
n-R5s72,
RP23-468D17.1,
Ccdc71l,E9Q4T4
Mampt,
n-R5s60,
Elmsan1,E9Q2I4
Mlh3,Q3TRU3
RP23-43G12.1,
Trip11,Q811I5
RP24-234J3.3,
Igha,A0A0A6YXW6
Akr1c14,Q91WT7
Akr1c19,G3X9Y6
Hist1h2bj,P10853
Hist1h4d,P62806
RP24-196I12.2 RP24-540A17.2,
Akr1c12,Q9R0M7
Hist1h2be,Q6ZWY9
Nup153,Q8BRF6
Sec24c,Q8CGF4
Pnp2,Q9D8C9
Kif13b,E9Q4K7
Lmo7,E9PYF4
Kcnk5,Q9JK62
Gm23999 Cacna2d3,
n-R5s46,
RP23-127E21.1,
Phf11b,B4XVQ1
Cdh18,E9Q9Q6
RP24-288B1.2,
H1f0 Gcat,
Rnu12,
March6,Q6ZQ89
RP23-230O9.4,
Cyp2d34,L7N463
Brd1,E9PZ26
Fignl2,J3QK54
Spryd3,E9Q9B3
Usf3,B2RUQ2
Ifngr2,Q63953
Sept5,Q9Z2Q6
Airn,Q78TB4
RP24-221F4.2,
Prss32,E9Q409
Gm22589 Ddx39b,
H2-Q2,Q4KN81
RP23-81C12.1,
RP23-81C12.3,
Fndc1,E9Q043
Gm25555 Zfp811,
Btnl4,A2CG29
Btnl5-ps,
Btnl6,A2CG22
RP24-180B11.5,
n-R5s25,
Eif4ebp3 Ankhd1,
n-R5-8s1,
RP23-140G16.1,
Gm23997,
Ahnak,E9Q616
Btaf1,E9QAE3
Cyp2c65,Q148B1
AC132303.1,
Dusp5,Q1HL35
Ppnr Tcf7l2,
Ndufs8 Tcirg1,
RP23-41B18.5,
Malat1,B0LAE7
Neat1,
RP23-341M13.1,
Ifit1bl1,E9PXF7
Lrrc8a RP23-395P6.10,
March7,Q9WV66
RP23-297K24.1,
RP23-22A15.2,
Entpd6,Q3U0P5
Baz2b,Q8C0K4
Ctnnd1 RP23-387F9.7,
Duox2,B7ZWM4
Plagl2,Q925T4
Zfp217,Q3U0X6
Atp11b,Q6ZQ17
RP23-243E17.1,
Gm23511,
RP23-346I1.1 Mgst2,
Mgst2,A2RST1
Tsc22d2,E9Q7M2
Sprr2a2,
Trim2,Q9ESN6
Gm26400,
RP23-398D18.4,
RP24-16C11.2,
RP23-273D6.2,
Gm22042,
RP23-211P15.1,
RP23-284L6.7,
Snhg3 Rcc1,
Vps13d,Vps13d
Btbd8 RP23-32E20.1,
Rplp0 Gcn1l1,
RP23-110C17.2,
Sh3tc1,Q3TXV8
Tada2b,D3Z4Z0
AC167815.1,
Fryl,Q80XD5
Ugt2b34,Q8K154
Zfp644,Q80TH4
Muc3,O35419
CAAA01224633.1,
WI1-166E14.1,
Adap1,E9PY16
Nup205,B9EJ54
Sval1,Q9D2X6
RP23-281H4.3,
Il17rc Creld1,
Plekha5,E9Q6H8
RP23-392I2.3 Wasl,
Kbtbd2,Q8BSY6
Igkv8-30,Q52L64
Dusp16,Q920R2
n-R5s150,
Fcgbp,Q8C5Q6
Rpl18 Fam83e,
Rsf1,Q3UJ04
RP23-386F15.3,
Tmc4 Leng1,
n-R5s152,
AC164564.3,
RP23-285C18.2,
Prss8,Q9ESD1
Ppfia1,B8QI33
Fat1,Q9QXA3
RP23-359B23.5,
Pdp2,Q504M2
AC124713.2,
Dpep1 AC114005.5,
RP23-310J6.1,
RP24-345M16.1,
Snord14c Hspa8,
Pkm Gramd2,
n-R5s86,
Myo5c,E9Q1F5
Tmppe,D3Z286
RP23-424C4.5,
Fam46a,Q3V3I9
Gm23017 RP23-46B12.5,
Rbm6,S4R1W5
mt-Rnr1,
mt-Rnr2,
mt-Ti,
mt-Tm,
mt-Ts2,
mt-Tc,
RP23-145N17.1,
Xist,
